#{"t_start": 1622408907.0321333, "env_id": "CartPole-v1"}
r,l,t
17.0,17,0.14755
22.0,22,0.24088
37.0,37,0.324403
18.0,18,0.337089
26.0,26,0.410616
46.0,46,0.554216
16.0,16,0.566335
16.0,16,0.63661
30.0,30,0.712856
51.0,51,0.806566
100.0,100,1.038462
24.0,24,1.107643
71.0,71,1.261436
172.0,172,1.704719
23.0,23,1.720075
108.0,108,2.010962
157.0,157,2.391329
174.0,174,2.781047
147.0,147,3.431866
137.0,137,3.766892
412.0,412,4.767018
421.0,421,5.771845
500.0,500,7.916622
396.0,396,8.829953
328.0,328,9.587064
500.0,500,11.718738
500.0,500,12.938989
500.0,500,14.087226
500.0,500,16.232621
500.0,500,17.381748
500.0,500,19.484805
500.0,500,20.643232
500.0,500,21.783514
500.0,500,23.918993
500.0,500,25.093541
500.0,500,27.151748
500.0,500,28.373294
500.0,500,29.506687
500.0,500,31.648106
500.0,500,32.864307
500.0,500,34.943583
500.0,500,36.152292
500.0,500,37.353289
