#{"t_start": 1622408907.0313666, "env_id": "CartPole-v1"}
r,l,t
34.0,34,0.237792
50.0,50,0.331231
64.0,64,0.484457
16.0,16,0.553382
29.0,29,0.633696
83.0,83,0.805057
59.0,59,0.95626
41.0,41,1.037107
47.0,47,1.175213
131.0,131,1.477404
138.0,138,1.792644
102.0,102,2.022391
188.0,188,2.47912
33.0,33,2.554381
109.0,109,2.849049
133.0,133,3.434207
114.0,114,3.694995
430.0,430,4.765647
500.0,500,5.930144
500.0,500,8.074419
337.0,337,8.896227
371.0,371,9.737612
500.0,500,11.869986
500.0,500,13.034439
500.0,500,15.172451
500.0,500,16.382319
500.0,500,17.528949
500.0,500,19.629156
500.0,500,20.790026
500.0,500,22.863803
500.0,500,24.072246
500.0,500,25.187193
500.0,500,27.306105
500.0,500,28.519861
500.0,500,30.590666
500.0,500,31.800678
500.0,500,33.021687
500.0,500,35.09179
500.0,500,36.303075
500.0,500,38.376835
