#{"t_start": 1622408907.0272105, "env_id": "CartPole-v1"}
r,l,t
37.0,37,0.244172
35.0,35,0.326445
30.0,30,0.403368
52.0,52,0.492698
17.0,17,0.562832
15.0,15,0.573955
56.0,56,0.727374
65.0,65,0.886519
52.0,52,1.03019
43.0,43,1.111745
30.0,30,1.185055
35.0,35,1.261825
107.0,107,1.494452
105.0,105,1.788146
240.0,240,2.330392
191.0,191,2.78726
115.0,115,3.081482
139.0,139,3.694229
174.0,174,4.152316
483.0,483,5.312696
500.0,500,7.407228
378.0,378,8.308507
320.0,320,9.066536
404.0,404,10.034271
500.0,500,12.110448
500.0,500,13.331719
500.0,500,15.472
500.0,500,16.620911
500.0,500,17.82137
500.0,500,19.860802
500.0,500,21.034317
500.0,500,23.170786
500.0,500,24.311903
500.0,500,25.475054
500.0,500,27.603841
500.0,500,28.759891
500.0,500,30.886324
500.0,500,32.049612
500.0,500,33.266919
500.0,500,35.390979
500.0,500,36.544935
