#{"t_start": 1622408907.0281537, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.146762
20.0,20,0.160951
20.0,20,0.253539
16.0,16,0.321782
56.0,56,0.416653
17.0,17,0.482065
64.0,64,0.644741
68.0,68,0.805471
50.0,50,0.95065
27.0,27,0.968288
62.0,62,1.116975
124.0,124,1.413298
231.0,231,1.953497
177.0,177,2.401047
57.0,57,2.547756
172.0,172,2.936264
119.0,119,3.519875
116.0,116,3.780685
61.0,61,3.936605
500.0,500,5.167533
85.0,85,5.387706
500.0,500,7.48125
463.0,463,8.598502
426.0,426,9.585237
500.0,500,11.717977
500.0,500,12.880614
500.0,500,14.086711
500.0,500,16.231276
500.0,500,17.381186
500.0,500,19.484059
500.0,500,20.588842
500.0,500,21.783037
500.0,500,23.918092
500.0,500,25.040687
500.0,500,27.150806
500.0,500,28.372658
500.0,500,29.505964
500.0,500,31.646519
500.0,500,32.807953
500.0,500,34.942688
500.0,500,36.151415
500.0,500,37.296702
