#{"t_start": 1622408907.0298085, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.152554
71.0,71,0.337884
58.0,58,0.487461
13.0,13,0.55396
14.0,14,0.564902
22.0,22,0.639807
19.0,19,0.652353
32.0,32,0.730468
80.0,80,0.954664
28.0,28,1.02681
28.0,28,1.098737
122.0,122,1.339184
110.0,110,1.632919
149.0,149,1.952646
140.0,140,2.319396
193.0,193,2.778052
130.0,130,3.082328
103.0,103,3.612953
230.0,230,4.165852
500.0,500,5.392488
500.0,500,7.540622
373.0,373,8.384614
310.0,310,9.13485
500.0,500,10.335648
500.0,500,12.414679
500.0,500,13.630749
500.0,500,15.72168
500.0,500,16.923606
500.0,500,18.118792
500.0,500,20.145003
500.0,500,21.328324
500.0,500,23.465942
500.0,500,24.597435
500.0,500,25.767908
500.0,500,27.857726
500.0,500,29.054872
500.0,500,31.184524
500.0,500,32.352891
500.0,500,33.563509
500.0,500,35.685826
500.0,500,36.838408
