#{"t_start": 1622408907.0305953, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.145323
18.0,18,0.157679
47.0,47,0.326794
27.0,27,0.40165
27.0,27,0.473467
42.0,42,0.560982
19.0,19,0.574976
33.0,33,0.71187
93.0,93,0.890349
34.0,34,0.967831
25.0,25,1.038656
28.0,28,1.110465
32.0,32,1.185105
109.0,109,1.472785
92.0,92,1.645039
175.0,175,2.089441
274.0,274,2.712733
47.0,47,2.856423
152.0,152,3.513699
156.0,156,3.916935
500.0,500,5.090884
500.0,500,6.300535
500.0,500,8.387654
312.0,312,9.139521
355.0,355,9.968134
500.0,500,12.097523
500.0,500,13.318317
500.0,500,15.402944
500.0,500,16.60811
500.0,500,17.753312
500.0,500,19.848544
500.0,500,21.021222
500.0,500,23.103739
500.0,500,24.298958
500.0,500,25.462271
500.0,500,27.533716
500.0,500,28.747545
500.0,500,30.816881
500.0,500,32.037198
500.0,500,33.254565
500.0,500,35.323014
500.0,500,36.532003
