#{"t_start": 1622408907.0289736, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.146829
21.0,21,0.239092
60.0,60,0.339398
24.0,24,0.411503
28.0,28,0.484765
33.0,33,0.56656
48.0,48,0.714416
57.0,57,0.81238
78.0,78,1.029777
46.0,46,1.113467
96.0,96,1.33655
36.0,36,1.415308
217.0,217,1.946435
153.0,153,2.321876
161.0,161,2.703537
146.0,146,3.018292
112.0,112,3.61011
121.0,121,3.923644
389.0,389,4.847936
500.0,500,6.069407
500.0,500,8.154697
364.0,364,9.053607
416.0,416,10.02893
500.0,500,12.105445
500.0,500,13.326442
500.0,500,15.410722
500.0,500,16.615801
500.0,500,17.816276
500.0,500,19.855972
500.0,500,21.029247
500.0,500,23.165358
500.0,500,24.306778
500.0,500,25.470207
500.0,500,27.541462
500.0,500,28.754966
500.0,500,30.881371
500.0,500,32.044766
500.0,500,33.262044
500.0,500,35.385855
500.0,500,36.539817
