#{"t_start": 1642023129.0271854, "env_id": "happinize-v1"}
r,l,t
395.293314,47,0.022608
217.902214,25,0.027353
338.805657,43,0.038548
401.968853,51,0.223798
310.871866,54,0.405739
263.274286,49,0.635418
205.574209,33,0.79684
331.833364,51,0.919992
416.44539,50,1.096903
209.687076,25,1.262572
254.203243,31,1.35322
385.629437,45,1.47031
262.711223,32,1.622335
411.158267,50,1.741012
315.881187,38,1.914629
372.140723,47,2.052
325.071952,40,2.209931
375.55568,48,2.356882
398.625112,48,2.52169
317.14828,39,2.728005
362.756037,44,2.868224
347.691736,45,3.024187
470.41746,58,3.183268
304.571095,41,3.376564
253.22107,34,3.516849
364.351013,49,3.638846
371.94417,52,3.807907
248.719375,34,3.990404
261.206177,39,4.119792
368.280785,52,4.275619
247.714608,32,4.458749
372.789498,47,4.576514
425.190453,52,4.785883
302.452043,37,4.964641
281.26598,36,5.095916
366.877481,50,5.229373
369.334188,50,5.402812
338.247721,44,5.573413
282.049521,34,5.721991
366.855069,48,5.846113
424.15359,56,6.015991
359.141045,45,6.203564
399.31419,53,6.361361
431.803035,59,6.548518
370.035968,48,6.795097
273.938625,33,6.962574
343.10497,43,7.087075
381.845154,49,7.244132
341.724062,44,7.41758
372.472994,50,7.572872
368.130221,50,7.746652
272.762313,34,7.915741
247.975035,30,8.035127
155.710551,19,8.135688
374.641926,48,8.213636
322.138045,43,8.38268
394.58416,53,8.542968
414.150379,58,8.733406
362.10782,50,8.99116
317.01849,43,9.167683
321.61524,45,9.322308
320.188317,44,9.478826
374.093203,50,9.635902
250.557559,31,9.803755
338.674029,46,9.921177
111.653114,13,10.071935
386.410094,55,10.134595
146.135709,18,10.317914
363.65633,50,10.394304
306.483081,41,10.570537
290.622407,38,10.714092
260.27964,33,10.846521
373.600734,50,11.019073
253.810664,32,11.190516
253.139735,30,11.303989
343.42988,45,11.415664
283.373135,36,11.569498
372.529806,49,11.702552
415.237472,55,11.876231
301.114401,37,12.070167
237.355947,29,12.204555
