#{"t_start": 1643921743.8769023, "env_id": "happinize-v1"}
r,l,t
289.366316,35,0.025115
431.903601,52,0.036419
365.07576,40,0.052621
377.848931,42,0.426609
360.247642,38,0.599442
443.068608,49,0.773834
289.337992,32,0.940384
501.668884,58,1.278745
305.07935,33,1.446103
485.723931,54,1.776672
463.324866,53,2.106969
429.936171,49,2.287141
491.871821,54,2.622656
325.456263,36,2.800721
427.009877,47,2.981769
448.335321,48,3.312256
401.409491,45,3.485048
376.494126,41,3.814929
468.022777,51,3.989843
384.032386,41,4.333697
315.462512,33,4.515041
424.726703,46,4.688437
234.188751,25,4.854752
386.051051,42,5.024519
459.449692,48,5.355892
418.240184,48,5.529759
443.012702,53,5.857323
397.19639,48,6.032325
372.43886,43,6.361911
345.792098,41,6.530955
316.294678,32,6.696387
429.517071,48,6.873048
335.881366,36,7.198701
463.746593,58,7.382565
394.598974,43,7.722026
299.961619,29,7.889551
420.32497,49,8.066861
383.083216,42,8.243922
61.295569,6,8.399401
480.405806,52,8.578702
530.365565,56,8.916237
426.802713,51,9.244968
477.329559,59,9.421254
353.518983,38,9.749248
340.151751,35,9.920046
529.771135,60,10.252684
454.422459,57,10.431989
299.526915,31,10.600907
481.840881,58,10.935671
315.228114,35,11.101069
393.679471,45,11.427824
277.119932,31,11.596756
384.995066,42,11.766832
308.769591,34,11.934981
344.338728,44,12.11301
340.225004,39,12.43842
410.729323,47,12.612478
433.796297,48,12.939383
309.645907,36,13.10958
472.432871,56,13.291368
408.502828,45,13.620099
384.500932,43,13.794924
230.777593,27,14.053509
246.719114,28,14.219114
459.950623,52,14.54824
466.508218,52,14.734925
460.917105,52,15.070716
280.579108,29,15.238094
394.201557,46,15.411142
411.848776,45,15.739811
495.30707,55,15.919284
299.83953,32,16.090132
469.945426,53,16.437721
363.04901,42,16.617698
290.264239,29,16.798852
418.3848,49,17.131505
455.582113,51,17.309947
372.36811,41,17.63942
428.29943,49,17.817899
489.511518,55,18.150285
476.685253,53,18.328529
401.385923,46,18.661932
382.734228,45,18.837144
384.624581,43,19.185826
312.555872,35,19.377454
401.794842,50,19.574983
330.159303,43,19.930429
376.151952,49,20.111279
257.950674,30,20.287212
351.302051,42,20.462121
396.030113,49,20.791849
396.449381,50,20.972147
440.830708,56,21.310503
384.235437,46,21.646399
449.689379,57,21.827337
342.959083,43,22.1611
178.527406,21,22.170722
346.036138,44,22.498292
344.103088,42,22.669078
38.485702,5,22.671303
351.848263,44,23.001541
237.173016,28,23.171562
236.038496,28,23.184533
349.197928,41,23.513366
437.685115,54,23.690778
399.11949,47,24.019617
368.252367,45,24.198211
370.913161,45,24.53615
289.890708,35,24.71467
374.490936,47,24.897207
365.85031,44,25.252116
422.53416,53,25.450365
377.353106,47,25.793716
380.74784,47,25.96733
345.905474,43,26.3016
417.698278,51,26.478612
373.947517,47,26.808889
360.659284,50,26.985049
282.265567,37,27.158971
374.02681,50,27.502555
296.963621,37,27.68797
331.598248,44,27.867587
366.837591,49,28.205443
398.979522,53,28.543128
337.839611,43,28.717312
237.888803,28,28.885463
379.780242,48,29.062356
273.444715,33,29.234566
397.029429,53,29.569423
364.28096,46,29.748876
403.232813,52,30.098582
405.281315,53,30.451793
397.621115,52,30.631685
347.855016,43,30.962223
196.323131,22,30.972338
382.337601,48,31.309358
353.102534,44,31.484784
283.552975,33,31.657459
434.123852,57,31.993234
200.198194,23,32.162188
383.538213,46,32.338257
294.961386,34,32.506512
380.461667,47,32.842646
327.049839,37,33.016087
153.999347,18,33.024226
172.434151,18,33.187804
279.419776,32,33.357635
398.835913,49,33.690841
363.746378,44,33.862639
365.682008,45,34.036108
339.832113,41,34.369068
412.990891,53,34.547981
282.485576,33,34.718222
321.859015,38,35.039877
384.547056,46,35.220089
181.626229,22,35.384501
375.675134,45,35.558735
385.01693,47,35.894252
399.153598,50,36.069498
175.803287,21,36.23767
367.438826,44,36.413487
434.722927,53,36.747551
446.112383,56,37.079867
337.849524,40,37.255957
353.410676,41,37.42822
414.026818,50,37.759238
347.503813,40,37.932735
333.55458,39,38.105809
411.805838,48,38.434353
284.680663,30,38.603065
482.383132,56,38.783202
294.218613,35,38.960304
309.293623,39,39.288446
323.493589,41,39.459937
406.46884,51,39.640571
248.725653,28,39.809571
426.065565,54,40.155128
435.502729,53,40.492767
412.947672,52,40.670833
278.311378,31,40.83851
388.677331,47,41.172616
430.999506,56,41.352937
370.850265,44,41.683097
340.092258,42,41.857305
385.12693,49,42.188893
351.903341,43,42.361284
195.412765,24,42.52753
419.866384,53,42.706912
281.473126,31,42.879508
344.390234,52,43.217172
293.484728,50,43.556156
118.055069,20,43.565223
392.31205,53,43.905435
331.526231,45,44.078819
331.96005,45,44.413484
379.724088,52,44.589152
392.255755,50,44.92712
20.079901,2,44.928118
286.095824,35,45.098201
378.444113,49,45.438476
370.743542,48,45.612095
415.694507,53,45.953872
276.153058,35,46.133991
398.62703,51,46.325293
367.067789,49,46.662133
261.106595,35,46.831668
224.916143,30,46.999098
297.214074,41,47.173345
277.305158,38,47.349797
247.913948,33,47.522043
282.778182,38,47.850649
252.714408,34,48.020455
400.601782,53,48.201636
404.158637,55,48.536877
380.060337,53,48.870583
426.164211,56,49.208642
344.205656,48,49.389941
344.751988,49,49.726869
337.438598,47,49.9113
348.570101,51,50.252227
386.359229,53,50.432952
308.771089,42,50.756209
314.279835,40,50.930812
400.932278,55,51.269186
229.69296,25,51.281021
371.785278,48,51.617786
340.012618,43,51.800723
377.29253,50,52.139246
290.054785,32,52.312257
364.487843,48,52.488549
315.683804,40,52.663996
400.739611,55,53.021491
388.120373,51,53.378871
319.298007,42,53.5604
341.102243,44,53.737938
393.606245,51,54.073446
387.634136,53,54.41743
377.680983,49,54.595096
414.469739,52,54.941679
453.63519,57,55.288509
343.393799,39,55.47486
329.337657,38,55.648733
396.411286,48,55.989217
451.753356,52,56.178751
340.284912,41,56.354138
424.408012,46,56.71843
226.556552,24,56.897533
436.765026,56,57.088617
360.573073,38,57.433538
305.714359,32,57.622326
368.551647,40,57.817646
352.734094,40,58.00982
421.076084,47,58.383605
369.532612,44,58.584317
391.691238,49,58.799394
487.309586,58,59.19721
372.096455,44,59.57043
293.230904,33,59.770506
416.740361,47,59.978335
407.081812,43,60.351439
240.680873,26,60.363775
479.62716,53,60.748624
399.729307,44,60.950547
445.986429,48,61.336387
347.45167,37,61.537928
478.564093,56,61.919271
366.438376,39,62.113746
466.303068,50,62.496716
377.329709,40,62.691698
468.381246,49,62.887208
488.491712,53,63.257606
459.925103,49,63.630312
301.166835,31,63.644841
484.642943,57,64.028655
323.054376,37,64.221761
330.741949,37,64.593761
470.843434,53,64.794018
430.175817,51,65.159098
357.755509,37,65.353295
442.377482,52,65.726518
177.146933,18,65.735187
371.424593,41,65.925014
471.863891,56,66.300311
400.235279,44,66.675604
350.154976,37,66.864189
418.118403,48,67.064116
361.872413,40,67.260569
418.461551,52,67.632236
464.104812,51,68.004446
384.212361,43,68.201833
412.230419,48,68.579634
366.765659,44,68.778247
432.74049,54,69.149847
322.507672,36,69.341093
460.382964,56,69.540884
418.505207,51,69.924731
280.395498,28,70.114275
511.256152,53,70.47609
311.921066,32,70.667116
195.720865,19,70.675973
299.904071,30,70.860231
448.101992,52,71.225068
440.813165,45,71.426486
432.608396,47,71.792341
402.662293,42,71.97901
398.769741,41,72.187248
371.548705,40,72.400758
444.76719,46,72.771573
428.816153,50,72.966297
291.000145,30,73.148215
244.119524,27,73.342027
386.958687,43,73.705121
400.898813,43,73.988299
345.083819,36,74.167497
452.631923,52,74.523289
364.593271,47,74.714817
430.43475,51,75.081991
351.095312,46,75.269931
428.472267,48,75.623508
339.696211,40,75.809585
385.244344,48,76.000212
429.22206,54,76.367646
336.071084,38,76.558997
366.220412,46,76.92496
259.960018,32,77.108063
443.82475,53,77.304735
439.544875,55,77.676026
402.53751,51,78.033475
416.233744,53,78.232821
289.035876,37,78.587857
370.85644,41,78.77718
436.484637,52,78.967748
379.942985,46,79.329173
290.778383,39,79.518958
462.682275,58,79.89243
398.615971,48,80.082311
461.181543,57,80.46169
459.90295,55,80.828177
377.046995,48,81.020152
276.058777,31,81.204773
382.496839,44,81.559836
307.065231,36,81.74692
358.272785,40,81.947975
441.522116,55,82.33853
416.572089,50,82.533721
328.976141,38,82.881507
417.979405,51,83.070507
380.487405,46,83.432951
380.990594,46,83.617898
471.423324,59,83.970597
449.358405,52,84.310438
433.999308,50,84.492985
314.361213,33,84.669135
415.021285,50,85.023695
344.471999,38,85.211343
365.917667,45,85.406344
369.028937,43,85.77795
405.41984,49,85.965097
356.274617,45,86.307975
397.91659,49,86.493931
285.491808,33,86.67068
310.286402,33,86.845984
