#{"t_start": 1643572411.4370072, "env_id": "happinize-v1"}
r,l,t
303.922352,38,0.090033
323.88456,39,0.107632
467.354598,60,0.146245
380.753413,45,3.055375
406.125304,46,4.617353
146.33995,17,5.519716
352.190045,39,5.898634
431.899487,53,8.118449
389.184518,43,9.252887
240.238736,26,10.056993
345.527154,40,11.123511
364.510251,40,13.053105
344.498421,41,14.479417
185.770635,21,15.530126
446.454314,51,15.991509
368.158945,42,16.873008
437.889686,49,18.462014
131.355645,15,20.816134
340.113602,41,21.601002
311.633867,36,23.59331
456.043235,53,25.296178
327.35837,37,27.721518
445.833256,50,28.40885
339.112913,39,30.908348
83.313344,10,32.940062
279.933492,32,33.421537
493.670916,56,35.08133
432.529522,49,37.812544
393.942064,46,40.16735
387.638691,48,42.46672
402.448393,49,44.393236
354.98458,39,44.898223
388.874926,46,45.833233
443.787726,56,46.85027
142.422674,16,47.802601
422.805483,56,48.135175
435.476837,49,49.30091
397.940706,45,49.802589
272.380777,31,50.239289
351.971802,40,50.664297
375.806248,48,51.75425
250.042064,27,53.138253
432.242005,50,53.926186
406.578784,48,55.511927
413.945581,50,56.931721
382.959035,45,58.16721
463.203937,56,58.624369
243.935299,28,60.28368
345.004329,39,61.131018
300.623846,35,62.267618
413.404132,48,63.27915
409.342119,48,64.229306
455.057847,51,64.91203
392.191724,45,66.083675
449.919786,55,67.443045
425.041481,48,69.213902
439.761752,49,70.616714
450.73935,57,72.14891
406.643155,47,72.802347
403.230373,46,74.243212
422.701332,48,74.69292
355.699458,41,75.679091
264.606787,29,76.845619
422.5126,51,77.753964
438.189545,55,79.269243
199.729183,22,80.827625
282.419219,32,81.309361
431.062575,52,82.013987
240.516758,27,82.903353
334.993712,41,83.482058
384.847829,48,84.27614
469.344524,56,85.621339
505.892378,57,87.259696
392.574172,44,88.630997
467.91798,58,89.919108
389.580309,44,91.220704
392.061231,46,91.972352
461.590804,53,92.756395
302.64333,34,93.308408
247.948729,28,93.653523
365.723008,45,94.423069
230.198196,25,95.241075
325.597432,39,95.691695
452.952881,50,96.597203
222.49708,25,97.815275
362.310947,41,98.581206
515.326055,58,99.7486
393.808116,46,101.058282
328.069914,38,102.072826
433.942139,49,102.919092
459.364057,56,104.375515
370.767634,43,106.121722
374.985641,48,107.251594
349.444161,40,108.117975
349.977922,39,109.326979
348.072635,40,110.471677
387.543168,47,111.651199
330.383796,38,113.071693
368.881443,44,114.182743
363.787911,39,115.420339
285.97269,33,116.000393
278.187803,31,116.942043
120.465608,14,117.827188
366.603121,42,118.283636
428.790218,50,119.448876
421.875216,48,120.876803
349.175303,40,122.192339
254.997619,29,123.566756
432.068806,50,124.399492
428.615048,50,125.59698
416.701696,52,127.006774
253.202218,29,128.436614
473.830084,57,129.342505
485.320766,54,130.977262
371.891996,44,132.484323
423.131451,52,132.975184
469.906448,57,133.519847
334.62552,41,134.364059
356.023038,42,135.538136
391.872027,48,136.762729
344.597731,39,138.16204
399.536733,45,139.307827
455.109554,53,140.594867
207.184277,23,142.126711
422.230488,50,142.816061
263.911349,29,144.210415
432.682844,50,145.028155
446.835046,54,146.442771
463.216778,52,147.94048
336.394723,39,149.468418
263.381492,31,150.596372
271.953655,31,151.490088
248.419489,28,152.396509
263.849127,30,153.225193
411.782503,46,153.844935
371.659699,42,155.02895
427.453464,48,156.241144
362.47301,41,157.634208
139.135654,15,158.879267
440.171943,50,159.324997
440.040815,50,160.698479
385.688551,44,162.119656
418.154442,48,163.363158
370.280045,43,164.756373
362.14851,44,166.04073
377.845759,43,167.238856
182.65839,21,168.777581
339.92112,40,169.420032
378.312646,43,170.601915
381.245259,43,171.822148
254.496396,29,173.100852
400.167208,45,173.92072
377.812484,45,175.173217
491.472642,55,176.480137
471.784366,56,177.767919
327.612255,39,178.800958
477.335663,55,179.904973
304.249062,36,181.533804
239.518383,27,182.617656
326.744559,39,183.534442
470.964009,53,184.693493
385.080221,46,185.963746
267.406518,30,186.711673
466.828873,54,187.210026
395.821883,45,188.54654
473.249069,53,189.853498
373.322121,43,191.401281
420.860329,49,192.684513
337.703549,43,194.503886
427.917448,48,195.823542
304.834602,35,197.676557
322.103269,38,200.360234
