#{"t_start": 1643878017.684711, "env_id": "happinize-v1"}
r,l,t
330.329548,42,0.018795
381.296078,46,0.028667
413.230761,49,0.259682
313.288099,41,0.432519
370.344611,49,0.761522
417.042641,57,2.9496
327.942144,44,4.234237
360.607924,50,4.422856
122.273011,15,4.587411
296.692496,38,4.762492
277.680032,36,4.953486
239.972775,30,5.133198
285.199776,38,5.439666
372.563518,51,5.824038
376.432804,51,6.003108
295.798892,40,6.327916
247.664692,31,6.506799
343.701316,45,6.694224
319.516745,38,6.869508
386.266372,50,7.208292
338.269098,42,7.394863
341.160394,47,7.842292
213.208714,25,7.85409
391.929062,52,8.191596
385.555488,52,8.542598
402.004677,55,8.761317
362.254443,51,9.096391
353.784707,51,9.27987
339.570623,44,9.739251
179.596025,22,9.915404
225.667767,27,9.928275
141.668754,17,10.09539
319.524737,40,10.272591
312.333167,40,10.452525
398.171763,53,10.79746
261.533432,32,10.980905
363.098553,50,11.351945
262.283026,32,11.539873
359.997973,48,11.845877
355.754444,45,12.22503
282.448053,35,12.413185
326.442847,42,12.600369
408.470255,56,12.94626
406.581595,55,13.134151
318.664338,40,13.470305
208.581446,24,13.481317
372.183862,49,13.932253
382.350219,49,14.112864
279.940517,34,14.445354
109.371623,13,14.451545
221.626437,25,14.620081
320.022292,42,14.795207
263.007373,31,14.97138
337.960518,45,15.150482
187.172695,22,15.319998
355.701193,47,15.669584
352.370485,46,15.849266
280.786026,35,16.153921
295.029952,37,16.334489
371.467422,49,16.679281
314.243823,40,16.856848
302.421922,39,17.034838
392.643939,50,17.368722
354.677899,47,17.54656
345.645749,45,17.876627
436.037461,58,18.343922
387.386415,51,18.549595
267.80188,34,18.734062
418.852698,56,19.086558
311.64357,39,19.263139
385.939839,52,19.595067
353.180586,47,19.771172
257.663197,32,19.938729
304.888438,38,20.113134
396.306777,53,20.563773
347.235836,45,20.747374
257.505522,32,20.919233
252.430353,30,21.088487
393.659261,53,21.421304
360.055845,48,21.761185
381.112468,51,21.942829
343.279374,45,22.278092
366.756656,49,22.566116
331.853125,42,22.745475
338.642451,43,23.086065
328.186786,42,23.261316
363.323581,49,23.596903
267.229338,33,23.767594
357.832041,46,23.945156
332.224162,42,24.122182
402.621235,55,24.579747
354.92556,44,24.762943
334.063209,44,25.100014
114.395183,13,25.106388
209.089855,24,25.282555
304.284341,38,25.461914
409.481703,56,25.806088
411.03144,53,26.15057
385.007922,51,26.333045
399.24484,54,26.798718
312.3328,40,26.972769
377.193225,49,27.308402
238.651949,29,27.478743
390.359249,51,27.661385
429.333431,58,27.995281
415.636741,56,28.335008
414.925387,54,28.517111
378.348659,50,28.968049
272.218962,34,29.156423
308.042461,41,29.338341
9.457251,1,29.338935
355.613066,46,29.673774
293.573398,35,29.846316
367.677169,50,30.019525
354.819948,46,30.413601
361.591637,50,30.724671
377.014675,50,31.251698
297.839872,38,31.441898
370.448918,50,31.818502
378.489077,49,32.005205
367.442781,50,32.358987
300.865438,39,32.554384
410.098239,55,33.249945
397.281355,52,33.44749
385.217643,50,33.799605
282.087071,36,33.977314
414.380315,57,34.317456
284.497808,35,34.493805
356.496378,48,34.672089
351.987044,47,35.012646
212.155704,25,35.299801
240.859147,29,35.474608
279.879711,34,35.650119
339.935124,45,35.829748
315.929232,41,36.008706
397.100876,52,36.352432
354.753131,47,36.541937
334.57888,44,36.877979
215.075523,25,37.042989
425.658188,56,37.355152
412.57209,55,37.696561
377.029796,48,38.036699
372.002095,49,38.225378
401.493314,53,38.574726
378.849802,50,38.755713
380.908174,51,39.086746
392.703344,53,39.544717
326.62404,43,39.731832
227.789619,27,39.91043
398.764378,55,40.244745
383.683586,50,40.42462
368.419325,48,40.760334
351.070273,47,40.943202
348.259272,45,41.125632
358.185704,49,41.586332
312.576936,39,41.761039
332.586237,43,42.094337
41.517189,5,42.097251
334.299886,44,42.27262
311.549074,41,42.455064
327.421172,43,42.794678
334.548814,46,42.976064
357.459623,46,43.30854
282.791708,34,43.488627
356.44419,47,43.75925
372.416891,49,44.092177
364.342692,48,44.274617
403.34562,54,44.609907
438.087595,60,44.951559
235.961519,29,45.119722
378.204513,53,45.301945
312.596137,41,45.676709
345.294184,47,45.937653
330.475099,43,46.11953
328.770168,42,46.455318
334.234163,43,46.633502
387.060708,53,46.964349
345.937356,46,47.13971
339.405369,45,47.468211
350.298104,47,47.649196
283.188436,35,47.942761
384.874477,51,48.281785
253.677771,32,48.458245
435.209353,58,48.641285
382.994784,52,48.973876
398.975917,54,49.306489
328.883,44,49.484537
328.247899,43,49.814147
357.76109,47,50.108921
367.251723,48,50.294219
435.136631,59,50.634504
373.004203,48,50.977265
255.328651,27,51.148147
313.973345,39,51.324138
430.566116,57,51.670635
353.864455,45,51.848275
262.847847,31,52.016696
251.43928,27,52.448629
367.457859,47,52.627634
396.405787,49,53.086513
387.216482,50,53.266086
60.583787,7,53.429657
413.04707,57,53.612302
418.58579,59,53.955307
398.146869,51,54.425546
192.236965,24,54.590947
330.876413,44,54.769497
254.755789,30,54.940183
409.645522,56,55.274406
375.788476,50,55.461022
374.273512,50,55.797322
341.154259,48,55.979487
285.781574,38,56.315546
63.3701,7,56.319188
299.122685,38,56.610931
394.607615,54,56.953305
256.257718,31,57.121475
348.932157,48,57.302179
310.921682,41,57.48044
336.37312,46,57.819735
273.427283,36,57.995523
317.77051,42,58.169224
292.627214,39,58.347071
300.485489,40,58.784097
316.329218,42,58.960701
356.043993,48,59.294938
378.18895,51,59.483615
388.492302,52,59.927032
326.076242,40,60.10453
380.870763,52,60.444968
408.713771,54,60.660825
403.14712,57,61.089703
385.643803,52,61.427815
360.837735,49,61.617441
342.433743,45,61.953143
326.828793,45,62.130886
257.253918,34,62.305734
370.792616,52,62.656882
423.06767,58,63.129197
85.86927,10,63.13424
350.112583,49,63.325214
145.407134,17,63.496525
343.771631,46,63.686168
341.818781,46,64.025293
328.759944,45,64.20059
348.398344,48,64.54042
224.124808,29,64.711996
327.502044,46,64.918233
266.926749,33,65.208192
153.531912,17,65.394866
354.843224,48,65.590719
336.873888,45,65.941036
303.622251,38,66.126946
54.870751,6,66.129717
340.473644,47,66.314398
356.391713,50,66.668084
158.274228,20,66.837506
289.512738,37,67.014585
333.583125,44,67.292704
312.757156,42,67.470155
361.574191,49,67.808291
105.55573,13,67.814361
273.059398,35,67.991803
387.931943,51,68.334906
288.881896,38,68.511253
324.227855,43,68.839545
328.321398,44,69.020085
252.687748,34,69.275639
287.814841,36,69.456835
264.757843,35,69.63058
357.701945,48,69.973023
431.000235,60,70.312522
324.351743,44,70.491155
264.410574,35,70.666426
154.968179,19,70.835315
390.472075,54,71.024922
346.022435,46,71.500861
360.862711,48,71.689953
327.712238,44,72.028366
373.605095,51,72.211642
359.567392,49,72.55194
307.2658,40,72.731787
353.48191,47,72.91773
394.918915,56,73.265554
364.437902,49,73.718941
319.567305,44,73.898288
114.14387,13,74.065774
435.634836,57,74.248501
288.128947,37,74.426315
248.617353,31,74.596603
361.872762,47,74.932142
359.283742,47,75.117367
334.288554,44,75.449598
342.543978,45,75.819131
300.819719,40,75.99893
269.797351,35,76.33419
385.078241,52,76.520394
334.975323,43,76.701513
369.918267,46,77.034155
334.90058,45,77.222016
408.74243,56,77.573201
310.528661,39,77.879405
307.264036,44,78.228398
249.118334,32,78.413957
393.317486,54,78.604938
296.356608,40,78.957182
395.398903,52,79.14463
317.320868,42,79.495949
352.288821,47,79.685117
406.356326,54,80.140943
241.040837,29,80.31642
225.78003,28,80.329427
307.229457,41,80.6731
266.032522,34,80.850494
326.172079,43,81.031833
332.148813,42,81.208277
245.904308,32,81.38248
300.46379,39,81.744127
334.039251,40,81.925729
205.302757,25,82.223272
459.3429,56,82.419615
379.30775,52,82.769808
237.28878,28,82.94949
337.340379,47,83.131194
342.764508,45,83.47344
389.704179,50,83.65482
180.21089,21,83.820183
331.610464,46,84.277783
327.187645,44,84.458011
328.486191,44,84.635726
256.701676,31,84.809381
348.046305,48,85.143164
338.87919,45,85.323939
358.658495,48,85.661541
245.926891,30,85.832637
288.943377,37,86.011339
290.749511,40,86.194422
350.307848,47,86.490592
334.689656,45,86.830476
339.048342,47,87.013094
297.805858,38,87.350997
251.99588,32,87.529473
345.876748,48,87.714301
271.939224,34,87.896353
374.67758,50,88.238414
354.074691,48,88.552838
343.726901,39,88.73068
422.855404,57,89.071544
410.261504,56,89.413547
375.321432,48,89.59286
322.374323,43,89.924591
339.782321,44,90.107165
172.367864,22,90.274267
382.89727,53,90.45798
362.081904,49,90.922388
279.18221,36,91.097672
131.588876,15,91.26614
366.250907,52,91.451214
370.280949,50,91.813473
281.595202,36,91.996506
390.163333,53,92.352183
353.23035,48,92.551008
387.62796,56,93.043857
298.887665,40,93.230175
369.065979,49,93.581179
314.444519,41,93.769273
353.969022,47,93.960227
335.521296,44,94.31637
375.885081,51,94.507411
308.412017,41,95.072634
323.399586,43,95.25225
351.279808,48,95.433582
392.522641,52,95.781957
318.799204,43,95.961519
268.643746,33,96.14236
279.216712,36,96.477277
314.626314,41,96.658878
270.25738,37,96.835588
306.714292,40,97.138651
294.522783,39,97.315904
263.721211,34,97.645703
388.505397,52,97.83246
348.42722,49,98.169437
187.861476,21,98.179011
356.629634,48,98.526922
334.666553,46,98.7086
292.183134,38,98.884501
336.247654,44,99.337643
309.588861,43,99.515344
385.789349,54,99.867952
161.625803,20,99.877699
172.658304,21,100.05043
380.017624,52,100.389073
401.664434,55,100.578138
363.433293,48,100.920593
137.579718,16,100.927897
356.046102,47,101.376961
374.925305,50,101.716368
373.74896,49,101.902598
288.504442,38,102.078767
334.152298,45,102.437906
386.345474,52,102.627682
321.289157,42,102.96843
381.63428,51,103.155744
356.538398,50,103.614172
416.212498,58,103.966189
383.797972,53,104.152001
36.048232,4,104.154027
337.46418,46,104.496664
365.599223,49,104.675757
355.99443,48,105.011086
391.863026,52,105.191668
364.238933,49,105.643126
336.235228,46,105.828289
90.745823,10,105.997261
344.109774,48,106.185247
320.990729,43,106.519034
306.504474,40,106.69785
383.11293,52,106.882124
252.694712,31,107.052071
378.375274,50,107.394684
333.558714,44,107.573255
265.503041,35,107.864291
352.354138,47,108.199154
348.107637,47,108.381978
247.227958,29,108.55576
368.48505,49,108.891387
348.282406,48,109.071781
360.489611,49,109.405368
367.838239,50,109.586006
312.817571,44,110.038339
413.20115,55,110.225527
383.168612,53,110.563608
317.276834,43,110.742862
331.789012,43,111.079339
375.471664,51,111.263281
413.657424,58,111.612305
369.525579,50,112.06579
287.788999,35,112.24205
94.234163,11,112.247136
290.307277,36,112.443532
319.456697,41,112.778618
446.088197,50,112.963933
365.893973,51,113.305269
348.312663,46,113.486532
321.862888,42,113.81922
284.900836,38,114.119931
332.774252,42,114.296708
370.204538,50,114.631932
263.26761,34,114.810536
343.4028,47,114.99059
277.121548,36,115.162438
364.504286,48,115.500048
211.09892,25,115.67078
344.588074,46,115.850367
340.487263,44,116.032375
356.001695,51,116.487866
345.300353,46,116.668924
357.682746,48,117.016201
245.194178,31,117.191307
401.47988,55,117.532942
409.7285,55,117.714564
338.034288,45,118.058228
392.052547,55,118.259991
384.661943,49,118.680069
385.712501,52,119.020719
373.787531,49,119.202459
237.647728,29,119.379794
323.653128,42,119.561254
394.143247,54,119.988927
309.212499,40,120.166077
369.146417,51,120.624639
329.63017,44,120.806367
315.737663,42,121.144542
392.605559,54,121.333758
227.403782,29,121.516126
389.591311,54,121.859663
331.916678,44,122.040799
319.571992,43,122.38973
411.075951,58,122.700596
297.844181,36,122.889498
347.31163,46,123.247303
383.431871,51,123.615078
355.203882,48,123.799992
358.091887,47,123.988961
319.464925,41,124.354757
396.33273,57,124.828585
359.329356,48,125.013236
333.871458,45,125.194326
338.729697,44,125.533514
376.083433,53,125.720848
400.316542,54,126.063454
294.564813,39,126.242725
338.486632,45,126.587795
343.30317,47,126.77051
361.56017,50,127.23334
351.090101,49,127.417629
264.565638,35,127.59047
341.348747,44,127.928054
306.846955,41,128.108495
370.084297,50,128.461273
380.342448,51,128.645452
392.859262,54,129.111154
361.20044,47,129.292683
380.581685,49,129.634145
376.868042,51,129.99678
372.125769,49,130.175989
334.705473,46,130.510027
249.521828,33,130.684525
399.775891,56,130.868576
323.19691,44,131.312221
323.084709,42,131.497817
331.500289,44,131.68574
424.649256,48,132.030071
326.232229,43,132.223558
338.26001,45,132.568632
226.81474,29,132.742599
373.424368,51,132.927593
176.527538,21,133.097573
200.05946,25,133.39221
377.634299,53,133.580789
253.207956,32,133.764615
278.037995,36,133.948535
377.787162,51,134.304152
353.264822,40,134.492884
277.169907,34,134.672132
340.591588,39,134.853682
263.600192,33,135.034572
378.332847,52,135.509448
332.072812,46,135.863803
309.278253,41,136.055355
248.191663,30,136.236639
386.357051,52,136.431067
330.879228,41,136.774185
188.369135,23,136.784604
242.633444,30,136.958787
332.12711,43,137.300976
376.500474,52,137.612586
327.362198,44,137.961998
373.653854,49,138.158637
328.912834,44,138.500355
345.751277,46,138.686275
411.584563,46,138.865067
335.579565,44,139.200288
329.286162,45,139.388639
415.839452,57,139.85808
394.380606,53,140.210366
319.824872,42,140.394683
385.055334,52,140.742078
349.716711,47,140.927404
368.380672,50,141.274012
342.1955,47,141.459954
380.25936,50,141.93569
388.333642,53,142.118268
289.744854,36,142.298319
323.687823,46,142.646327
229.828164,29,142.826175
376.406712,51,143.010497
323.982563,42,143.342826
426.984712,57,143.532545
224.441931,28,143.703801
288.270366,37,144.153586
237.745232,30,144.167651
295.355863,39,144.510805
333.17137,43,144.689605
373.097795,52,145.024579
436.888257,58,145.209378
261.025764,33,145.387462
283.40338,34,145.716145
420.09394,56,145.905654
365.656045,49,146.356952
342.869977,47,146.545889
80.811317,9,146.709722
384.34575,52,146.898754
279.416476,35,147.081896
322.343965,45,147.417737
241.615974,29,147.591586
305.661253,41,147.769056
200.500717,24,147.95069
333.681152,43,148.251678
390.739809,52,148.605523
