#{"t_start": 1642242113.1101446, "env_id": "happinize-v1"}
r,l,t
395.293314,47,0.524771
217.902214,25,0.529875
350.122056,43,0.970134
463.067785,51,1.802947
340.128111,35,2.087872
292.797506,30,2.223029
439.404794,45,2.344069
311.909725,32,2.505568
471.946865,50,2.63419
373.660645,38,2.818994
335.784723,34,3.064456
453.554664,51,3.203385
524.839193,55,3.407739
482.420627,51,3.623561
331.000176,35,3.899213
512.636155,54,4.041957
507.358761,55,4.264718
343.719158,37,4.481386
459.303216,50,4.718367
550.845529,58,4.910256
461.5015,52,5.13559
480.459599,51,5.334095
331.135797,34,5.612858
400.292135,42,5.749563
400.427479,45,5.927724
324.984192,34,6.107319
299.554844,30,6.309647
174.266681,19,6.439784
470.437747,50,6.622598
425.026858,46,6.821359
477.946891,50,7.008404
406.194348,43,7.20415
364.064846,37,7.452734
407.288578,44,7.594891
493.390539,53,7.763667
362.338546,39,7.954747
457.094874,48,8.104016
471.916907,52,8.370819
340.778623,35,8.556218
379.537841,41,8.693267
342.663326,39,8.850918
352.872712,40,8.994288
443.249252,49,9.239997
266.37416,27,9.424423
428.768438,44,9.536168
496.621064,51,9.705855
399.708051,42,9.977675
