#{"t_start": 1642353070.985343, "env_id": "happinize-v1"}
r,l,t
339.784336,43,0.034047
380.585689,47,0.043113
164.3694,18,0.049722
489.080558,51,0.62314
443.308474,49,0.803787
443.466887,50,1.019048
451.268058,54,1.241008
514.555581,56,1.435132
372.479652,44,1.635319
215.401624,26,1.78965
547.98873,58,1.898638
418.673457,46,2.107234
218.276913,26,2.260811
357.492899,43,2.35765
396.530506,46,2.51191
398.289446,50,2.6773
307.833905,34,2.848542
319.019973,36,2.969278
469.730346,58,3.105016
372.159592,44,3.308646
408.755955,46,3.464875
335.588436,38,3.62536
374.810208,41,3.762145
343.551551,41,3.90505
402.126456,45,4.055701
402.88981,47,4.212994
404.351071,47,4.380829
374.690324,42,4.545858
427.915061,48,4.71679
422.048411,51,4.908204
451.506457,57,5.106991
348.579468,36,5.30932
428.932377,53,5.452931
393.605667,40,5.648953
464.452786,56,5.804657
450.865367,47,6.010955
417.578466,50,6.189422
428.7341,47,6.377341
359.512246,38,6.551318
320.01022,37,6.697248
433.403692,50,6.844583
451.226111,53,7.035331
448.085149,53,7.235668
421.185907,49,7.433346
453.861527,55,7.619873
395.349849,41,7.817564
415.938157,48,7.978153
408.996748,44,8.160553
392.445457,45,8.329493
369.480685,43,8.498918
428.352503,48,8.666588
406.72414,41,8.845519
409.775799,49,9.002614
471.828846,57,9.192659
388.614179,47,9.404248
297.681366,29,9.575954
336.082511,38,9.686393
468.719076,51,9.835002
352.070554,36,10.024086
489.242269,59,10.167512
471.66575,57,10.390781
371.403943,40,10.601291
419.905802,49,10.757403
391.456979,48,10.939208
445.239279,52,11.127354
465.281008,52,11.325799
470.966189,55,11.52416
183.722499,17,11.716063
366.505803,41,11.788978
468.83823,55,11.951373
449.42261,53,12.154319
478.43134,55,12.358143
396.579356,43,12.561919
362.675416,37,12.723112
332.628082,37,12.860208
417.720666,47,13.007706
430.336793,48,13.19075
445.810137,54,13.365702
360.49829,38,13.557907
373.948795,43,13.696371
523.966885,55,13.85236
382.34603,43,14.042766
433.929171,51,14.203122
355.570805,41,14.379263
404.870616,42,14.526625
354.90095,39,14.671896
437.03506,52,14.813092
382.541667,45,14.992274
404.667179,47,15.153082
299.579613,30,15.320454
464.373211,55,15.438278
162.265562,15,15.685016
363.968902,41,15.766266
358.58676,40,15.998816
416.65663,50,16.14238
393.099125,44,16.315551
308.381642,32,16.464859
374.925737,44,16.584616
234.202749,23,16.734835
452.469594,53,16.825779
418.164889,51,17.011343
410.79818,46,17.191447
278.53714,27,17.350138
422.736117,48,17.455823
383.625809,44,17.621636
406.213685,47,17.779257
451.968497,54,18.01436
364.775283,40,18.227204
455.285765,54,18.381836
402.015486,42,18.564813
397.283643,44,18.711616
405.608766,46,18.866601
417.515898,50,19.029071
473.525734,56,19.206378
348.246156,38,19.396435
430.065026,50,19.539498
350.628184,37,19.710749
346.741418,37,19.844622
397.583115,45,19.980053
404.873224,45,20.140133
297.960016,30,20.291367
408.563426,44,20.401171
395.482128,43,20.556119
255.683135,26,20.701851
358.273996,39,20.798419
286.051649,29,20.930772
449.202424,54,21.04494
400.026375,46,21.238593
465.925432,56,21.408763
420.471371,46,21.60386
415.685557,46,21.767035
449.52009,54,21.935176
435.758339,50,22.127888
411.535569,45,22.304884
402.195652,48,22.461872
360.560065,38,22.628306
263.411058,26,22.762025
460.996709,52,22.87096
422.997291,50,23.068463
420.827831,51,23.265007
462.823783,56,23.463145
418.72354,47,23.676236
420.951641,49,23.857875
390.533868,42,24.046303
457.503937,58,24.20627
391.393971,44,24.40622
369.751896,43,24.563511
357.79718,41,24.714438
434.543072,56,24.866715
400.574239,49,25.061102
307.225757,34,25.23035
380.161048,48,25.355314
390.835958,49,25.525652
343.462738,42,25.696972
391.822056,51,25.853828
355.140412,47,26.031578
379.105087,52,26.199095
176.960125,19,26.369591
343.001525,44,26.446738
332.929603,43,26.601652
342.639056,46,26.762417
