#{"t_start": 1642414265.0098712, "env_id": "happinize-v1"}
r,l,t
303.716775,38,0.405307
321.957088,39,0.412759
392.944188,53,0.685407
248.455036,24,1.385915
449.041194,49,1.546747
89.988538,9,1.718885
317.053572,33,1.761575
444.590483,47,1.897666
429.818561,45,2.067982
494.256668,54,2.239055
471.633026,50,2.444473
401.296418,45,2.626899
361.124308,41,2.788484
475.450379,52,2.946297
412.350826,47,3.134432
345.785504,37,3.307945
290.268407,33,3.444767
87.751071,9,3.557845
351.745643,39,3.606273
395.616335,50,3.751371
462.949484,53,3.936973
322.767554,37,4.129806
361.156389,43,4.268263
396.908909,44,4.429257
288.741266,32,4.580898
420.572671,51,4.705211
419.768864,52,4.889197
394.229889,43,5.080146
490.662856,54,5.245783
404.567748,48,5.448147
500.477217,60,5.644236
370.490463,42,5.869377
418.210092,48,6.025343
426.151356,47,6.203411
402.171118,44,6.377405
206.428093,21,6.534785
428.900936,50,6.626005
243.674322,26,6.803638
360.836302,40,6.907396
437.698371,48,7.067986
408.194981,44,7.251362
415.537124,47,7.419617
339.917964,35,7.594589
406.911392,45,7.735438
420.276452,49,7.901534
466.185491,56,8.080509
266.175426,28,8.276109
500.043008,59,8.393678
127.086901,12,8.590383
453.553443,51,8.651407
238.264149,25,8.832765
185.049049,18,8.923899
466.70199,54,9.007042
428.668933,47,9.208751
483.66444,53,9.386679
261.590493,28,9.575454
423.012249,45,9.685305
439.035701,51,9.850427
383.042678,44,10.032716
451.692483,50,10.200641
349.198288,40,10.38206
343.680186,39,10.528545
336.488021,37,10.67159
299.589262,33,10.801192
470.794147,52,10.92916
455.913411,54,11.121327
351.390965,39,11.313969
190.828001,20,11.451724
425.535623,49,11.535293
229.58743,25,11.710255
399.842572,46,11.813577
502.946989,57,11.990267
422.811061,50,12.203887
401.094404,48,12.386384
402.518377,45,12.557698
383.603688,41,12.722941
396.299418,47,12.888968
455.624601,55,13.060186
471.125811,50,13.261606
345.695511,36,13.439253
343.990787,37,13.573786
360.29066,41,13.71097
283.74453,31,13.856853
308.710417,34,13.970481
374.977654,43,14.101726
294.195277,32,14.263185
365.896607,40,14.387676
487.353349,58,14.542781
404.033826,47,14.753823
354.938011,38,14.924057
438.963384,52,15.074072
422.524491,49,15.272462
416.159108,47,15.457663
403.842944,48,15.628468
366.251517,40,15.812752
411.661822,44,15.958432
420.123741,48,16.129393
431.554533,48,16.316725
387.466842,45,16.50912
454.855346,52,16.684256
272.234126,29,16.871492
148.679356,14,16.973996
486.581476,57,17.043419
465.746139,56,17.253474
249.617726,27,17.444883
439.004324,55,17.551712
450.600311,52,17.750986
428.130864,50,17.942104
310.594101,34,18.119603
479.371354,55,18.255539
361.845798,40,18.452839
466.758181,58,18.606517
446.387185,48,18.822453
323.199747,35,18.998685
508.245383,55,19.141181
406.258222,45,19.344047
440.094459,48,19.515925
401.509073,41,19.686971
416.943632,45,19.841157
332.642105,37,20.003841
437.418867,48,20.142722
422.855166,45,20.319554
364.395526,43,20.490354
327.406199,35,20.645631
397.33114,44,20.779325
421.714969,48,20.939202
455.846919,50,21.119103
425.702508,45,21.300606
367.040063,40,21.462208
458.022093,49,21.617052
378.933761,41,21.799903
261.748936,28,21.945261
230.188834,25,22.047691
468.061257,50,22.155653
373.44086,43,22.339266
456.063397,48,22.499926
272.431886,29,22.674058
251.995079,27,22.782947
448.05495,50,22.888662
385.459456,43,23.07392
328.498299,36,23.234843
439.828513,50,23.377718
448.900572,55,23.567806
536.773391,57,23.772214
432.399735,46,23.979657
423.695526,46,24.152736
384.921235,43,24.323336
433.575634,49,24.484194
212.334319,23,24.653045
543.178507,55,24.749488
415.379889,48,24.949455
424.488199,49,25.129086
318.648689,35,25.303102
498.100781,53,25.438033
515.589205,56,25.634176
465.15007,55,25.838904
292.999783,32,26.034653
490.158132,56,26.166458
335.956916,35,26.360692
423.834387,45,26.490121
451.304612,49,26.664472
355.01865,38,26.842535
279.123122,30,26.982012
407.225884,44,27.105216
429.651,46,27.273327
401.637614,44,27.449416
397.759418,45,27.615654
383.565569,40,27.785489
218.837095,23,27.931693
309.257506,30,28.019329
336.309754,37,28.138981
440.422846,50,28.28519
456.351491,51,28.471077
482.97713,51,28.661658
432.220387,45,28.845391
476.489655,52,29.011934
411.469044,42,29.202988
440.029265,45,29.360698
327.597547,35,29.525496
156.916545,16,29.647158
372.761572,42,29.715293
390.27705,43,29.868162
453.271705,47,30.032434
424.051905,51,30.211148
502.942447,52,30.405348
440.880356,47,30.595682
398.254094,45,30.76464
267.361984,28,30.92258
340.051955,35,31.025698
278.302696,30,31.153045
460.186015,49,31.27231
355.366038,38,31.449454
441.837258,49,31.593178
343.078753,38,31.764361
245.093466,25,31.89966
314.12092,36,31.999258
415.938785,49,32.139844
19.653956,2,32.299002
372.018871,39,32.321815
466.995889,52,32.468667
384.348738,43,32.656304
333.448869,38,32.819185
483.015577,59,32.967837
327.75086,35,33.181443
471.540801,50,33.316582
496.31033,55,33.500183
485.021722,54,33.703693
357.597064,40,33.898586
420.340702,45,34.049234
422.025544,45,34.215316
315.925159,33,34.379713
464.933808,51,34.510757
470.313011,52,34.703245
326.241386,34,34.892553
446.103037,49,35.030946
236.47169,25,35.20563
379.533523,42,35.308369
466.382455,51,35.473888
334.22742,33,35.655826
413.369846,44,35.785627
375.88417,41,35.954641
172.528073,17,36.099411
521.473654,54,36.178158
376.815858,40,36.371871
269.092419,29,36.517281
443.862393,48,36.635418
500.413706,51,36.820929
386.096579,46,37.006333
455.463308,48,37.178994
483.732097,51,37.357601
538.300312,56,37.548743
63.31858,6,37.733819
260.695694,25,37.76476
382.580131,40,37.863112
202.414898,20,38.005936
438.537129,51,38.098579
380.976209,39,38.28724
226.310026,22,38.433421
446.906959,48,38.528105
476.230859,55,38.713477
367.411716,37,38.908679
457.322473,55,39.058248
331.023243,36,39.256421
390.308037,40,39.393437
457.266511,49,39.547113
225.046932,24,39.726557
441.95048,48,39.828518
430.951481,46,40.00841
389.711806,42,40.181843
531.250317,58,40.351917
474.982761,50,40.569717
504.367519,57,40.761515
409.240283,44,40.9673
434.567615,50,41.130115
483.095459,52,41.315407
432.536076,48,41.510502
325.191207,34,41.681754
375.754079,40,41.81394
506.625312,55,41.96738
534.117559,58,42.183251
272.234471,30,42.38804
487.572014,54,42.509135
383.723312,40,42.711024
442.723237,48,42.863389
407.206128,45,43.041114
286.168895,31,43.205281
296.928168,32,43.325151
462.302589,53,43.454608
459.580442,51,43.65371
343.411287,38,43.841797
454.656443,50,43.986745
462.994051,51,44.170971
473.887417,50,44.355437
443.600488,52,44.541573
418.943272,44,44.731103
500.785186,54,44.900176
375.258808,40,45.099155
509.876499,54,45.25132
399.148762,44,45.447268
494.177465,52,45.616505
523.352812,56,45.826233
406.577742,43,46.042352
420.434879,46,46.209022
398.599234,44,46.386828
454.364629,49,46.558167
415.955416,43,46.738691
461.366652,54,46.907901
465.362354,50,47.106243
429.271007,51,47.293368
482.675323,53,47.496502
474.713278,52,47.698761
361.183083,36,47.89119
373.89447,40,48.027446
178.011236,21,48.170197
521.816406,55,48.262368
342.402308,36,48.461307
556.434894,58,48.603358
430.11464,47,48.815349
437.394306,48,48.992924
485.404164,51,49.174055
384.409801,41,49.362066
507.218794,52,49.514424
468.284531,50,49.712192
427.376469,46,49.89955
552.842903,59,50.084563
465.642216,50,50.30822
438.655278,45,50.493284
395.46989,40,50.660063
417.213498,42,50.810472
349.269731,35,50.971992
526.862002,55,51.110657
413.980852,43,51.307622
444.801042,46,51.471969
440.600687,46,51.640451
458.877308,48,51.817544
534.812271,57,52.000375
327.829188,36,52.203571
414.530874,43,52.344649
447.71223,47,52.507681
