,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
30,30,413.333624694,2022-01-29 13:37:56.476325,2022-01-29 18:23:34.795974,0 days 04:45:38.319649,512,1000000,0.9999,0.0016635771597065079,big,0.6244926293872045,,0.005,32,COMPLETE
31,31,343.28741082330004,2022-01-29 14:14:21.704243,2022-01-29 17:10:20.316331,0 days 02:55:58.612088,32,1000000,0.9999,0.00032155207606315454,big,0.6268151647828416,,0.005,32,COMPLETE
32,32,321.47883723290005,2022-01-29 17:10:20.317670,2022-01-29 20:12:30.152911,0 days 03:02:09.835241,32,1000000,0.9999,0.0016590356734410502,big,0.6362852617605782,,0.005,32,COMPLETE
33,33,323.05581050139995,2022-01-29 18:23:34.797314,2022-01-29 22:38:15.924296,0 days 04:14:41.126982,512,1000000,0.9999,0.0002767170335793463,big,0.6296050626463987,,0.005,32,COMPLETE
34,34,328.50101877360004,2022-01-29 20:12:30.154273,2022-01-30 00:17:42.715185,0 days 04:05:12.560912,512,1000000,0.9999,0.00033791574681598486,big,0.4808687466625624,,0.005,32,COMPLETE
35,35,345.1316878308,2022-01-29 22:38:15.925703,2022-01-30 02:07:29.810384,0 days 03:29:13.884681,128,1000000,0.9999,0.0008531003916059395,big,0.4832748515705858,,0.02,32,COMPLETE
36,36,328.3496233592,2022-01-30 00:17:42.716910,2022-01-30 03:49:55.891501,0 days 03:32:13.174591,128,1000000,0.9999,0.0009062491269371649,big,0.5600597809783414,,0.02,32,COMPLETE
37,37,411.42798542440005,2022-01-30 02:07:29.811909,2022-01-30 05:41:33.245894,0 days 03:34:03.433985,128,1000000,0.9999,0.000954529688286218,big,0.5186877445311244,,0.02,32,COMPLETE
38,38,372.24094892159997,2022-01-30 03:49:55.892847,2022-01-30 07:21:27.873874,0 days 03:31:31.981027,128,1000000,0.9999,0.001867731850570268,big,0.41792845759608405,,0.02,32,COMPLETE
39,39,339.2816364271,2022-01-30 05:41:33.247216,2022-01-30 09:12:32.742441,0 days 03:30:59.495225,128,1000000,0.9999,0.001705086282074368,big,0.4106899497611839,,0.02,32,COMPLETE
40,40,222.8845454628,2022-01-30 07:21:27.875239,2022-01-30 08:24:25.346240,0 days 01:02:57.471001,128,1000000,0.9999,0.002324675858192309,big,0.42315925013618455,,0.02,32,PRUNED
41,41,325.96289764270006,2022-01-30 08:24:25.347169,2022-01-30 11:59:28.579683,0 days 03:35:03.232514,128,1000000,0.9999,0.001084035578280038,big,0.5062450293789353,,0.05,32,COMPLETE
42,42,415.05859008519997,2022-01-30 09:12:32.743765,2022-01-30 12:55:16.120475,0 days 03:42:43.376710,128,1000000,0.995,0.0009056966553947975,big,0.5194285571309522,,0.02,32,COMPLETE
43,43,410.93710733,2022-01-30 11:59:28.581045,2022-01-30 15:24:58.817734,0 days 03:25:30.236689,128,1000000,0.995,0.0006127473182889722,medium,0.4678581009801295,,0.02,16,COMPLETE
44,44,412.30785580299994,2022-01-30 12:55:16.121828,2022-01-30 16:48:03.204049,0 days 03:52:47.082221,128,1000000,0.995,0.0006537339362706933,big,0.4792393615468312,,0.02,32,COMPLETE
45,45,344.6753802027,2022-01-30 15:24:58.819100,2022-01-30 18:52:45.015852,0 days 03:27:46.196752,128,1000000,0.995,0.00047394301432487527,medium,0.5492474123290249,,0.02,16,COMPLETE
46,46,321.9697783842,2022-01-30 16:48:03.205440,2022-01-30 20:13:13.105614,0 days 03:25:09.900174,128,1000000,0.995,0.000506524535857192,medium,0.5432524335941653,,0.001,16,COMPLETE
47,47,347.3984301974,2022-01-30 18:52:45.017185,2022-01-30 23:14:37.293672,0 days 04:21:52.276487,1024,1000000,0.995,0.00048078408873534806,medium,0.60258906007369,,0.001,16,COMPLETE
48,48,325.0423993376,2022-01-30 20:13:13.112691,2022-01-30 21:30:01.916693,0 days 01:16:48.804002,1024,1000000,0.995,0.0001501315847430212,medium,0.59488329603994,,0.02,8,PRUNED
49,49,326.9319010579,2022-01-30 21:30:01.924563,2022-01-30 23:02:55.817005,0 days 01:32:53.892442,128,1000000,0.995,0.002763066289957131,medium,0.46172591697710713,,0.02,16,PRUNED
50,50,344.41852113569996,2022-01-30 23:02:55.821980,2022-01-31 02:22:47.147718,0 days 03:19:51.325738,100,1000000,0.995,0.02206526459854993,big,0.38685400524144287,,0.02,1,COMPLETE
51,51,402.16126727290003,2022-01-30 23:14:37.298340,2022-01-31 02:38:57.352083,0 days 03:24:20.053743,100,1000000,0.995,0.001008825499754968,big,0.5108867391947193,,0.02,1,COMPLETE
52,52,412.0819538573999,2022-01-31 02:22:47.149480,2022-01-31 05:40:54.413663,0 days 03:18:07.264183,128,1000000,0.995,0.0013390649239220429,big,0.5036069468478668,,0.02,32,COMPLETE
53,53,410.84576214640003,2022-01-31 02:38:57.360766,2022-01-31 05:59:38.051839,0 days 03:20:40.691073,100,1000000,0.995,0.001123400435091594,big,0.5206476932523952,,0.02,1,COMPLETE
54,54,321.7541656982,2022-01-31 05:40:54.418061,2022-01-31 08:50:51.553282,0 days 03:09:57.135221,128,1000000,0.995,0.0006650000964799512,big,0.5292193999602869,,0.02,32,COMPLETE
55,55,373.12536991170003,2022-01-31 05:59:38.060698,2022-01-31 09:10:52.773798,0 days 03:11:14.713100,128,1000000,0.99,0.0007305205464180144,big,0.2852997327281232,,0.01,32,COMPLETE
56,56,321.66264240159995,2022-01-31 08:50:51.556908,2022-01-31 09:49:26.628323,0 days 00:58:35.071415,128,1000000,0.99,0.00012726093300706776,big,0.28773903365215586,,0.01,32,PRUNED
