,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
67,67,94.66028100000001,2021-05-23 13:57:17.065686,2021-05-23 13:58:48.794055,0 days 00:01:31.728369,100,1000000,False,0.95,0.050677890182151006,big,0.5942162082993323,normal,1000.0,COMPLETE
68,68,145.0857896,2021-05-23 13:58:27.290134,2021-05-23 13:59:59.605380,0 days 00:01:32.315246,100,1000000,False,0.95,0.057708055490431585,big,0.5996909192826227,normal,1000.0,COMPLETE
69,69,76.2621056,2021-05-23 13:58:48.795541,2021-05-23 14:00:33.294136,0 days 00:01:44.498595,100,1000000,False,0.999,0.8622313380185505,big,0.7574517630585906,normal,1000.0,COMPLETE
70,70,65.02971600000001,2021-05-23 13:59:59.606816,2021-05-23 14:01:41.052736,0 days 00:01:41.445920,100,1000000,False,0.999,0.8415541232908487,big,0.7265896798118724,normal,1000.0,COMPLETE
71,71,155.5805468,2021-05-23 14:00:33.295588,2021-05-23 14:02:48.102606,0 days 00:02:14.807018,256,1000000,False,0.99,0.125682989654988,big,0.7211640457627226,normal,1000.0,COMPLETE
72,72,160.5450706,2021-05-23 14:01:41.054367,2021-05-23 14:02:54.669787,0 days 00:01:13.615420,16,100000,False,0.95,0.027704461320814708,big,0.6376680522694476,normal,1000.0,COMPLETE
73,73,66.5595814,2021-05-23 14:02:48.104144,2021-05-23 14:04:04.560033,0 days 00:01:16.455889,16,100000,False,0.95,0.027756715760746446,big,0.6423977207335626,normal,1000.0,COMPLETE
74,74,162.60689699999998,2021-05-23 14:02:54.671306,2021-05-23 14:04:24.221612,0 days 00:01:29.550306,16,100000,False,0.95,0.2894696767790694,big,0.6606801481824436,normal,1000.0,COMPLETE
75,75,130.6887302,2021-05-23 14:04:04.561472,2021-05-23 14:05:27.466389,0 days 00:01:22.904917,16,100000,False,0.95,0.3017796585083208,big,0.570935606786343,normal,1000.0,COMPLETE
76,76,140.963978,2021-05-23 14:04:24.223138,2021-05-23 14:13:08.297544,0 days 00:08:44.074406,2048,100000,False,0.95,0.2139710805384295,big,0.6597060434519489,normal,1000.0,COMPLETE
77,77,73.5195348,2021-05-23 14:05:27.467988,2021-05-23 14:06:51.734295,0 days 00:01:24.266307,32,100000,False,0.95,0.2513242049076159,big,0.6802838677367261,normal,1000.0,COMPLETE
78,78,139.30829079999998,2021-05-23 14:06:51.735753,2021-05-23 14:08:02.678326,0 days 00:01:10.942573,2048,100000,False,0.95,0.6352714630147318,small,0.8324496536420025,normal,1000.0,COMPLETE
79,79,92.1142392,2021-05-23 14:08:02.680521,2021-05-23 14:09:12.925587,0 days 00:01:10.245066,16,100000,False,0.95,0.03652531955253639,big,0.7807780232388697,normal,1000.0,COMPLETE
80,80,75.93701519999999,2021-05-23 14:09:12.927169,2021-05-23 14:13:03.534486,0 days 00:03:50.607317,512,100000,False,0.95,0.0881487826667552,big,0.6697343203361205,normal,2000.0,COMPLETE
81,81,140.02439239999998,2021-05-23 14:13:03.536455,2021-05-23 14:14:32.034621,0 days 00:01:28.498166,16,100000,False,0.95,0.13745465252646907,big,0.7063223963380929,normal,1000.0,COMPLETE
82,82,92.4428116,2021-05-23 14:13:08.298842,2021-05-23 14:13:28.577001,0 days 00:00:20.278159,16,10000,False,0.95,0.13468322941741234,big,0.620112795833818,,128.0,PRUNED
83,83,57.415675199999995,2021-05-23 14:13:28.578183,2021-05-23 14:14:43.252230,0 days 00:01:14.674047,16,10000,False,0.98,0.025432977868064047,big,0.7062320516653859,normal,1000.0,COMPLETE
84,84,81.0647946,2021-05-23 14:14:32.036191,2021-05-23 14:15:50.872407,0 days 00:01:18.836216,16,10000,False,0.98,0.03580506732864287,big,0.5405155429870028,normal,1000.0,COMPLETE
85,85,85.4126308,2021-05-23 14:14:43.253733,2021-05-23 14:15:02.862181,0 days 00:00:19.608448,16,10000,False,0.999,0.06589049408348233,big,0.7612126329440074,normal,16.0,PRUNED
86,86,129.30939819999998,2021-05-23 14:15:02.863274,2021-05-23 14:16:22.117907,0 days 00:01:19.254633,16,10000,False,0.99,0.03360856893953916,big,0.575884459816377,normal,128.0,COMPLETE
87,87,72.6557502,2021-05-23 14:15:50.873626,2021-05-23 14:16:13.489875,0 days 00:00:22.616249,64,100000,False,0.95,0.6296104342848226,big,0.5765686844360559,normal,128.0,PRUNED
88,88,85.3712226,2021-05-23 14:16:13.490924,2021-05-23 14:17:30.745057,0 days 00:01:17.254133,16,10000,False,0.95,0.01486223402811497,big,0.6125469571126327,normal,1000.0,COMPLETE
89,89,63.5805212,2021-05-23 14:16:22.119462,2021-05-23 14:17:56.266263,0 days 00:01:34.146801,100,100000,False,0.95,0.00813367871384498,big,0.48228045170769024,,1000.0,COMPLETE
90,90,77.73232,2021-05-23 14:17:30.746810,2021-05-23 14:17:54.687349,0 days 00:00:23.940539,100,100000,True,0.9999,0.4258087710102105,big,0.5047491953603905,normal,,PRUNED
91,91,102.4499304,2021-05-23 14:17:54.688184,2021-05-23 14:18:36.637222,0 days 00:00:41.949038,128,10000,False,0.999,0.00022997562813037038,small,0.6553968634973897,,1000.0,COMPLETE
92,92,128.78618780000002,2021-05-23 14:17:56.267938,2021-05-23 14:19:22.605727,0 days 00:01:26.337789,16,100000,False,0.95,0.016514055032732945,big,0.6401741836794288,normal,1000.0,COMPLETE
93,93,66.0145792,2021-05-23 14:18:36.638659,2021-05-23 14:19:52.215856,0 days 00:01:15.577197,16,100000,False,0.95,0.002580268637930131,big,0.048642430448787244,normal,1000.0,COMPLETE
94,94,144.04896200000002,2021-05-23 14:19:22.607377,2021-05-23 14:20:55.536118,0 days 00:01:32.928741,16,100000,False,0.95,0.0027403791616592323,big,0.4322904525540868,normal,2000.0,COMPLETE
95,95,78.79467839999998,2021-05-23 14:19:52.217561,2021-05-23 14:21:25.234122,0 days 00:01:33.016561,16,100000,False,0.9999,0.00966728058408328,big,0.5355697255573598,normal,2000.0,COMPLETE
96,96,126.9482156,2021-05-23 14:20:55.537687,2021-05-23 14:22:14.200759,0 days 00:01:18.663072,16,100000,False,0.9999,0.005076065122349274,big,0.5504018479834857,ornstein-uhlenbeck,256.0,COMPLETE
97,97,167.33604,2021-05-23 14:21:25.235594,2021-05-23 14:22:36.427551,0 days 00:01:11.191957,16,1000000,False,0.995,0.0014892353208352737,big,0.47809966974581114,ornstein-uhlenbeck,256.0,COMPLETE
98,98,63.67406360000001,2021-05-23 14:22:14.202228,2021-05-23 14:24:16.475820,0 days 00:02:02.273592,256,1000000,False,0.9,0.0015422966800642118,big,0.47447259435679173,ornstein-uhlenbeck,1000.0,COMPLETE
99,99,138.9138844,2021-05-23 14:22:36.429055,2021-05-23 14:24:31.022428,0 days 00:01:54.593373,256,1000000,False,0.995,0.0016538360662818959,big,0.6279030752174146,ornstein-uhlenbeck,256.0,COMPLETE
