,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,96.5068488,2021-05-23 13:00:32.294382,2021-05-23 13:01:35.803372,0 days 00:01:03.508990,16,100000,False,0.95,1.5058617434215723e-05,medium,0.348901666299676,normal,1.0,COMPLETE
1,1,153.53644979999999,2021-05-23 13:00:32.302558,2021-05-23 13:01:19.962835,0 days 00:00:47.660277,100,1000000,True,0.95,4.9516804228748184e-05,small,0.8121869750976165,,,COMPLETE
2,2,83.2991622,2021-05-23 13:01:19.964316,2021-05-23 13:03:07.824658,0 days 00:01:47.860342,64,100000,True,0.99,0.5491278995506476,big,0.8476692081041596,normal,,COMPLETE
3,3,146.6176854,2021-05-23 13:01:35.804902,2021-05-23 13:02:14.273072,0 days 00:00:38.468170,256,1000000,True,0.9,0.0038261393424950337,small,0.9888723414964213,,,COMPLETE
4,4,146.21426060000002,2021-05-23 13:02:14.274558,2021-05-23 13:02:48.805655,0 days 00:00:34.531097,16,1000000,True,0.999,0.474009569347526,small,0.3156204776232263,,,COMPLETE
5,5,158.0158232,2021-05-23 13:02:48.807102,2021-05-23 13:04:05.366298,0 days 00:01:16.559196,16,100000,False,0.95,0.005720439827771521,big,0.5078798729884934,normal,1000.0,COMPLETE
6,6,154.32424260000002,2021-05-23 13:03:07.826112,2021-05-23 13:04:34.896651,0 days 00:01:27.070539,256,10000,True,0.9999,0.009496189722055041,medium,0.07935050054611337,ornstein-uhlenbeck,,COMPLETE
7,7,129.365239,2021-05-23 13:04:05.367769,2021-05-23 13:09:41.910033,0 days 00:05:36.542264,2048,1000000,False,0.9,0.00011649606216414951,medium,0.1282136646757066,ornstein-uhlenbeck,1.0,COMPLETE
8,8,114.307727,2021-05-23 13:04:34.898137,2021-05-23 13:05:34.396140,0 days 00:00:59.498003,32,1000000,True,0.995,2.286607870104234e-05,big,0.37362054125034283,ornstein-uhlenbeck,,COMPLETE
9,9,127.46450740000003,2021-05-23 13:05:34.398115,2021-05-23 13:06:17.341123,0 days 00:00:42.943008,512,100000,True,0.99,0.00021902543544731612,small,0.9515700432668823,normal,,COMPLETE
10,10,118.9404096,2021-05-23 13:06:17.342962,2021-05-23 13:10:10.537664,0 days 00:03:53.194702,1024,1000000,False,0.9,0.00015818588483101093,medium,0.3259337995129753,,2000.0,COMPLETE
11,11,56.702959799999995,2021-05-23 13:09:41.911590,2021-05-23 13:14:38.897854,0 days 00:04:56.986264,1024,100000,False,0.98,0.048466178938182516,big,0.6505433170136262,normal,1000.0,COMPLETE
12,12,81.35268819999999,2021-05-23 13:10:10.539458,2021-05-23 13:12:19.657803,0 days 00:02:09.118345,256,10000,False,0.9999,0.016868498510974408,big,0.6182816638274324,ornstein-uhlenbeck,1000.0,COMPLETE
13,13,160.1909858,2021-05-23 13:12:19.659276,2021-05-23 13:13:32.927189,0 days 00:01:13.267913,16,10000,False,0.9999,0.02899887434410039,big,0.012566962961861092,ornstein-uhlenbeck,1000.0,COMPLETE
14,14,67.4256466,2021-05-23 13:13:32.929434,2021-05-23 13:14:45.053919,0 days 00:01:12.124485,16,10000,False,0.98,0.07422690655869432,big,0.5979914438875116,normal,1000.0,COMPLETE
15,15,117.32642659999999,2021-05-23 13:14:38.899286,2021-05-23 13:15:50.556034,0 days 00:01:11.656748,16,10000,False,0.9999,0.0008642673788204613,big,0.5151617991153243,ornstein-uhlenbeck,128.0,COMPLETE
16,16,155.3885398,2021-05-23 13:14:45.055335,2021-05-23 13:16:22.874463,0 days 00:01:37.819128,128,10000,False,0.9999,0.0007609868821989236,big,0.48907125845860117,ornstein-uhlenbeck,256.0,COMPLETE
17,17,138.3226486,2021-05-23 13:15:50.557453,2021-05-23 13:17:28.288990,0 days 00:01:37.731537,128,10000,False,0.95,0.0013140026715907143,big,0.21637944947116805,ornstein-uhlenbeck,256.0,COMPLETE
18,18,65.8708786,2021-05-23 13:16:22.876125,2021-05-23 13:16:42.392356,0 days 00:00:19.516231,16,100000,False,0.95,0.11964534262429911,big,0.19932418975126437,normal,16.0,PRUNED
19,19,145.72886,2021-05-23 13:16:42.393471,2021-05-23 13:18:12.901218,0 days 00:01:30.507747,100,10000,False,0.995,0.0023194842832601334,big,0.025581246829437042,ornstein-uhlenbeck,1000.0,COMPLETE
20,20,84.14943559999999,2021-05-23 13:17:28.290489,2021-05-23 13:18:46.879366,0 days 00:01:18.588877,16,100000,False,0.995,0.012306019122577989,big,0.013825642188801002,normal,1000.0,COMPLETE
21,21,162.096888,2021-05-23 13:18:12.902690,2021-05-23 13:19:30.760803,0 days 00:01:17.858113,16,100000,False,0.999,0.01258068300513135,big,0.7339378815299176,normal,1000.0,COMPLETE
22,22,105.4966154,2021-05-23 13:18:46.880747,2021-05-23 13:20:25.649186,0 days 00:01:38.768439,128,10000,False,0.9999,0.004768118763682782,big,0.45863408115812665,ornstein-uhlenbeck,256.0,COMPLETE
23,23,143.8924082,2021-05-23 13:19:30.762201,2021-05-23 13:20:49.216505,0 days 00:01:18.454304,16,100000,False,0.999,0.02954709506918113,big,0.724587834026138,normal,1000.0,COMPLETE
24,24,85.4120444,2021-05-23 13:20:25.650756,2021-05-23 13:21:42.226651,0 days 00:01:16.575895,16,100000,False,0.999,0.029493590008516576,big,0.7395507606568086,normal,1000.0,COMPLETE
25,25,84.6518506,2021-05-23 13:20:49.218019,2021-05-23 13:22:16.395732,0 days 00:01:27.177713,16,100000,False,0.999,0.19195774856877196,big,0.7498498059499895,normal,1000.0,COMPLETE
26,26,68.6914802,2021-05-23 13:21:42.228095,2021-05-23 13:23:15.761088,0 days 00:01:33.532993,64,100000,False,0.95,0.18205131830917642,big,0.9123071989130862,normal,1000.0,COMPLETE
27,27,147.4515908,2021-05-23 13:22:16.397172,2021-05-23 13:25:23.193402,0 days 00:03:06.796230,512,100000,False,0.999,0.0054546649447836226,big,0.5584838855770521,normal,128.0,COMPLETE
28,28,92.151629,2021-05-23 13:23:15.762982,2021-05-23 13:23:34.469296,0 days 00:00:18.706314,32,100000,False,0.999,0.007176151879056393,big,0.5668076449190049,normal,16.0,PRUNED
29,29,82.07079999999999,2021-05-23 13:23:34.470612,2021-05-23 13:34:41.382412,0 days 00:11:06.911800,2048,100000,False,0.99,0.00214523740614352,big,0.7041256894269512,normal,2000.0,COMPLETE
30,30,117.2450716,2021-05-23 13:25:23.195498,2021-05-23 13:32:16.847846,0 days 00:06:53.652348,2048,100000,False,0.95,0.0020536356641509598,medium,0.4081482433743238,normal,2000.0,COMPLETE
31,31,137.92715660000002,2021-05-23 13:32:16.849895,2021-05-23 13:33:28.137134,0 days 00:01:11.287239,16,100000,False,0.99,0.01770129880309442,big,0.6634230264495639,normal,1000.0,COMPLETE
32,32,155.5334962,2021-05-23 13:33:28.139193,2021-05-23 13:34:59.438004,0 days 00:01:31.298811,128,10000,False,0.9999,0.0006567601647813836,big,0.4572094319290159,ornstein-uhlenbeck,256.0,COMPLETE
33,33,150.18062160000002,2021-05-23 13:34:41.384191,2021-05-23 13:36:17.071300,0 days 00:01:35.687109,128,10000,False,0.9999,0.0008346932712294156,big,0.4466958717972434,ornstein-uhlenbeck,256.0,COMPLETE
34,34,123.60037200000002,2021-05-23 13:34:59.439682,2021-05-23 13:36:37.908508,0 days 00:01:38.468826,128,10000,False,0.9999,0.0004377369894013849,big,0.8131077508746837,ornstein-uhlenbeck,256.0,COMPLETE
35,35,115.76258720000001,2021-05-23 13:36:17.073018,2021-05-23 13:36:59.229294,0 days 00:00:42.156276,100,10000,False,0.9999,0.00042768775732510123,small,0.8018251194892703,ornstein-uhlenbeck,256.0,COMPLETE
36,36,109.98794300000002,2021-05-23 13:36:37.910010,2021-05-23 13:38:07.761010,0 days 00:01:29.851000,64,10000,False,0.95,0.0003568136054233084,big,0.2625987605981973,,1000.0,COMPLETE
37,37,88.54888700000001,2021-05-23 13:36:59.230820,2021-05-23 13:37:38.991698,0 days 00:00:39.760878,64,10000,False,0.95,0.038213006944092694,small,0.25987541356664307,,1000.0,COMPLETE
38,38,97.38820539999999,2021-05-23 13:37:38.993098,2021-05-23 13:37:57.874414,0 days 00:00:18.881316,16,10000,False,0.9999,0.003657570529446802,big,0.8710837718416773,ornstein-uhlenbeck,1.0,PRUNED
39,39,70.451066,2021-05-23 13:37:57.875246,2021-05-23 13:38:13.751082,0 days 00:00:15.875836,16,10000,False,0.98,0.012242836530334996,medium,0.12135249820520094,,16.0,PRUNED
40,40,125.2756938,2021-05-23 13:38:07.762640,2021-05-23 13:39:13.303583,0 days 00:01:05.540943,16,1000000,True,0.98,7.227477256918432e-05,big,0.3807039490376253,ornstein-uhlenbeck,,COMPLETE
41,41,72.3379362,2021-05-23 13:38:13.752159,2021-05-23 13:38:26.578371,0 days 00:00:12.826212,32,1000000,True,0.9,0.9491189668771659,small,0.5260946232288107,ornstein-uhlenbeck,,PRUNED
42,42,95.762214,2021-05-23 13:38:26.579350,2021-05-23 13:40:06.939780,0 days 00:01:40.360430,128,10000,False,0.9999,0.0012839121301959431,big,0.4635631116888135,ornstein-uhlenbeck,256.0,COMPLETE
43,43,165.75093580000004,2021-05-23 13:39:13.305033,2021-05-23 13:40:50.085679,0 days 00:01:36.780646,128,10000,False,0.9999,0.000901958050733451,big,0.4742386167727699,ornstein-uhlenbeck,256.0,COMPLETE
44,44,152.0188234,2021-05-23 13:40:06.941334,2021-05-23 13:41:36.785048,0 days 00:01:29.843714,128,10000,False,0.9999,2.268129034266664e-05,big,0.34897655114956183,ornstein-uhlenbeck,256.0,COMPLETE
45,45,71.3002596,2021-05-23 13:40:50.087262,2021-05-23 13:42:31.347189,0 days 00:01:41.259927,128,10000,False,0.9999,0.005971913273179811,big,0.4063022759300339,ornstein-uhlenbeck,256.0,COMPLETE
46,46,75.871794,2021-05-23 13:41:36.786617,2021-05-23 13:46:56.697196,0 days 00:05:19.910579,1024,10000,False,0.9999,0.021678332995994292,big,0.40655717693509585,ornstein-uhlenbeck,256.0,COMPLETE
47,47,156.1724042,2021-05-23 13:42:31.349107,2021-05-23 13:45:44.974138,0 days 00:03:13.625031,1024,10000,False,0.9999,0.017332497528082667,medium,0.9675849230848653,ornstein-uhlenbeck,1.0,COMPLETE
48,48,80.74020959999999,2021-05-23 13:45:44.975798,2021-05-23 13:46:40.359525,0 days 00:00:55.383727,1024,100000,True,0.999,0.068638600925221,medium,0.9942493144696071,ornstein-uhlenbeck,,PRUNED
49,49,96.3797998,2021-05-23 13:46:40.360845,2021-05-23 13:47:54.668801,0 days 00:01:14.307956,1024,10000,False,0.9999,0.020625219289414777,medium,0.9681039249266133,ornstein-uhlenbeck,1.0,PRUNED
50,50,140.3149914,2021-05-23 13:46:56.699078,2021-05-23 13:50:07.854442,0 days 00:03:11.155364,1024,100000,False,0.9,0.011812274911431756,medium,0.9430321299713991,normal,1.0,COMPLETE
51,51,91.4252746,2021-05-23 13:47:54.669810,2021-05-23 13:48:28.913552,0 days 00:00:34.243742,512,100000,False,0.9,0.007905965234654533,medium,0.9097992577457877,normal,1.0,PRUNED
52,52,125.3924526,2021-05-23 13:48:28.914490,2021-05-23 13:49:59.605776,0 days 00:01:30.691286,256,10000,False,0.9999,0.010993231069411715,medium,0.6497011092401009,ornstein-uhlenbeck,1.0,COMPLETE
53,53,82.7099742,2021-05-23 13:49:59.607514,2021-05-23 13:50:51.949800,0 days 00:00:52.342286,1024,10000,False,0.9999,0.00329815663962283,medium,0.5887418199769786,ornstein-uhlenbeck,1.0,PRUNED
54,54,158.1112672,2021-05-23 13:50:07.856268,2021-05-23 13:51:29.658825,0 days 00:01:21.802557,16,10000,False,0.9999,0.04950885246339602,big,0.6113038536136617,ornstein-uhlenbeck,128.0,COMPLETE
55,55,107.3916158,2021-05-23 13:50:51.950867,2021-05-23 13:51:55.901461,0 days 00:01:03.950594,16,10000,False,0.995,0.00013781717569837651,big,0.5234517634717113,ornstein-uhlenbeck,1000.0,COMPLETE
56,56,61.8970768,2021-05-23 13:51:29.660782,2021-05-23 13:51:50.621405,0 days 00:00:20.960623,16,10000,False,0.995,0.04872219108715844,big,0.6318044899334282,ornstein-uhlenbeck,128.0,PRUNED
57,57,93.2498626,2021-05-23 13:51:50.622555,2021-05-23 13:52:11.311733,0 days 00:00:20.689178,16,10000,False,0.9999,0.08560415506239664,big,0.684104335683046,ornstein-uhlenbeck,128.0,PRUNED
58,58,74.507902,2021-05-23 13:51:55.903037,2021-05-23 13:52:16.506197,0 days 00:00:20.603160,16,1000000,False,0.9999,0.10134395723960782,big,0.7875894135603548,ornstein-uhlenbeck,128.0,PRUNED
59,59,176.6537658,2021-05-23 13:52:11.312909,2021-05-23 13:53:39.310695,0 days 00:01:27.997786,16,1000000,False,0.95,0.21050876216225495,big,0.556212024167501,normal,128.0,COMPLETE
60,60,176.5599182,2021-05-23 13:52:16.507509,2021-05-23 13:53:47.163355,0 days 00:01:30.655846,100,10000,False,0.95,0.0535784137222898,big,0.5944343587317852,normal,1000.0,COMPLETE
61,61,141.8390402,2021-05-23 13:53:39.312323,2021-05-23 13:55:04.052462,0 days 00:01:24.740139,16,1000000,True,0.95,0.19741562482595124,big,0.544638815670524,normal,,COMPLETE
62,62,101.05826019999999,2021-05-23 13:53:47.164897,2021-05-23 13:54:11.107836,0 days 00:00:23.942939,100,1000000,False,0.95,0.4913467107731441,big,0.5587375406216147,normal,128.0,PRUNED
63,63,147.35449060000002,2021-05-23 13:54:11.108903,2021-05-23 13:55:35.484715,0 days 00:01:24.375812,16,1000000,False,0.95,0.1606710871423385,big,0.6156363470160158,normal,1000.0,COMPLETE
64,64,158.97611799999999,2021-05-23 13:55:04.054033,2021-05-23 13:56:43.552831,0 days 00:01:39.498798,100,1000000,False,0.95,0.3247082515718457,big,0.6145294006357669,normal,1000.0,COMPLETE
65,65,149.30811939999998,2021-05-23 13:55:35.486165,2021-05-23 13:57:17.064313,0 days 00:01:41.578148,100,1000000,False,0.95,0.3219730317192536,big,0.4931295229423012,normal,128.0,COMPLETE
66,66,138.9073282,2021-05-23 13:56:43.554298,2021-05-23 13:58:27.288604,0 days 00:01:43.734306,100,1000000,False,0.95,0.3574931549689206,big,0.6942659293359613,normal,128.0,COMPLETE
