#{"t_start": 1642328138.373975, "env_id": "happinize-v1"}
r,l,t
419.303212,51,0.357411
325.398931,44,0.365331
379.619144,40,0.580524
387.781841,44,1.426808
498.679075,53,1.589817
304.265796,31,1.777655
442.891355,46,1.896301
376.223339,44,2.070868
433.971882,46,2.236946
318.840039,33,2.402263
395.760211,43,2.528485
398.913332,42,2.682664
530.587856,57,2.84029
309.789526,31,3.041598
363.837261,38,3.162564
398.956377,45,3.306875
306.074443,33,3.467913
433.875829,46,3.594046
496.474184,54,3.76435
432.538988,47,3.95869
364.204574,39,4.128962
365.597121,39,4.27208
469.794169,54,4.423457
482.071195,53,4.617815
243.993985,23,4.798685
445.678645,47,4.892591
243.15552,27,5.066793
445.614599,48,5.180496
429.894119,46,5.354243
379.347342,45,5.523481
515.517377,55,5.691828
311.85136,34,5.891851
466.652156,53,6.030489
461.459546,51,6.228918
530.916845,58,6.420796
449.980971,50,6.628843
421.160348,48,6.813274
521.433606,58,6.996838
404.048083,48,7.204707
411.418248,47,7.380974
397.796027,45,7.549928
229.063693,23,7.709133
300.83495,32,7.796973
390.375873,42,7.918481
429.53276,49,8.074918
196.2361,23,8.249886
337.649005,35,8.339114
382.324077,40,8.470612
418.681974,48,8.62141
410.655595,44,8.797316
449.965834,52,8.968769
353.563274,37,9.153219
472.32431,50,9.296597
426.915337,46,9.476003
491.880236,53,9.644979
459.398468,51,9.83989
548.478062,59,10.029981
534.201474,57,10.24687
473.389146,50,10.451338
423.70486,46,10.631388
414.554991,52,10.801035
387.158393,40,10.990445
127.135956,14,11.132599
352.524002,37,11.196193
494.438122,54,11.340968
354.104636,39,11.533519
113.52233,11,11.664093
328.05986,35,11.717737
492.2026,54,11.858866
368.361281,42,12.059189
410.198625,47,12.223138
393.241473,48,12.398119
451.956111,52,12.576077
198.752602,24,12.756754
395.61185,48,12.852228
413.093241,47,13.029671
403.177009,48,13.201247
437.509399,54,13.377913
418.359497,51,13.573982
304.529646,37,13.76401
387.792292,48,13.904442
397.165415,49,14.079216
419.581803,50,14.260779
306.286553,38,14.444094
327.103047,45,14.586248
434.248371,50,14.749321
323.266455,39,14.927386
478.960633,55,15.078957
307.708428,38,15.278244
187.382497,23,15.412398
196.680449,24,15.499881
471.996315,58,15.599749
269.81315,32,15.802699
383.193279,45,15.924595
460.300862,53,16.090453
285.823421,34,16.279736
429.734907,49,16.408518
15.658299,2,16.567622
352.439585,48,16.592348
371.66913,50,16.767317
283.537576,34,16.943032
310.504602,38,17.069999
347.430162,42,17.209666
330.483005,39,17.362074
440.048014,52,17.510844
356.223653,44,17.69535
359.740207,43,17.858975
257.192471,31,18.011144
422.433499,51,18.137128
356.292729,43,18.324162
382.870528,45,18.483496
380.769834,46,18.644809
482.452795,57,18.819802
377.406185,46,19.026466
227.327808,28,19.191885
468.81549,54,19.307112
392.433011,47,19.506018
388.643747,48,19.677046
404.297066,50,19.854937
