#{"t_start": 1643843965.0871706, "env_id": "happinize-v1"}
r,l,t
230.185241,39,53.978008
240.002752,42,54.123018
208.061257,37,54.264787
258.708919,42,54.528682
183.774995,31,54.666863
242.508465,41,54.809753
319.995124,54,55.09359
206.228814,37,55.237368
225.570663,40,55.382053
331.322805,56,55.697882
265.727028,44,55.844912
268.493772,48,56.11228
234.528401,42,56.254504
268.521507,46,56.398288
237.468335,44,56.663585
210.990243,37,56.808997
221.356411,40,56.952477
183.414449,31,57.090269
241.219352,46,57.353129
163.782591,28,57.366235
182.888375,33,57.504435
251.215434,43,57.818317
291.583437,51,57.967153
99.442257,18,58.105431
241.799378,43,58.251495
129.667503,24,58.387953
250.6044,44,58.536229
220.926424,39,58.806336
287.995485,52,58.953893
314.629088,57,59.221355
310.937471,56,59.492839
258.498027,49,59.647708
180.409631,33,59.860026
144.685265,26,60.007021
224.974062,40,60.157214
311.819799,59,60.44443
270.80689,48,60.730648
255.752086,46,60.887158
265.965826,47,61.170166
201.67408,37,61.313005
266.178218,49,61.460664
271.024227,46,61.727093
243.982926,41,61.930589
245.393503,43,62.075305
231.333845,42,62.336322
222.703231,40,62.478563
269.843588,46,62.622648
185.151993,35,62.885319
263.914117,45,63.031678
276.287285,48,63.179176
270.783981,49,63.448442
258.637394,46,63.591612
134.868446,23,63.724986
247.60525,45,64.047832
249.133535,44,64.195823
253.438122,45,64.347064
263.366835,46,64.626516
296.531412,52,64.776731
203.554777,37,65.042609
245.195669,45,65.190156
318.793275,55,65.464554
192.595849,35,65.603904
228.762761,42,65.744833
296.641503,53,66.087433
275.492532,49,66.233942
264.711027,49,66.500366
307.350683,54,66.650371
248.617734,45,66.917148
162.90234,28,67.059741
279.504121,50,67.207811
200.447238,36,67.34724
238.167786,43,67.756664
283.078634,51,67.904049
250.194858,45,68.227104
301.018706,50,68.504256
210.503582,36,68.64997
201.964482,37,68.918157
333.975009,59,69.073342
304.681653,52,69.342026
285.235056,50,69.607797
248.900097,44,69.751892
273.470387,46,69.898214
263.922052,48,70.240335
292.593909,48,70.388033
298.440172,53,70.658647
321.656538,56,70.932092
321.697772,58,71.206974
284.428983,51,71.35308
260.961827,47,71.615525
269.211496,48,71.758768
242.496513,41,72.023797
206.180997,35,72.162053
240.470829,43,72.376062
296.654701,55,72.64567
304.557073,55,72.794397
253.374608,46,73.067332
223.715568,40,73.211162
76.753368,14,73.338429
164.587837,28,73.351864
230.659778,39,73.611486
283.142089,52,73.757965
241.901018,45,74.021084
261.327649,47,74.165669
170.033504,31,74.364563
251.663029,46,74.631031
199.456089,33,74.770976
263.586332,45,74.91474
281.24453,49,75.182604
268.632888,49,75.326168
328.549813,56,75.598429
270.880116,51,75.743446
139.189925,25,75.877552
282.921166,50,76.150259
238.912948,43,76.293801
309.968981,55,76.619259
169.694205,27,76.754942
250.711297,46,76.903845
278.906166,50,77.174211
166.053931,28,77.312006
257.788777,44,77.454342
326.94843,55,77.719634
178.476584,32,77.855717
189.253877,37,78.001718
128.096543,21,78.011621
165.443527,30,78.145657
