#{"t_start": 1643236342.8672318, "env_id": "happinize-v1"}
r,l,t
404.661699,52,0.634165
401.539905,47,0.658258
438.783803,46,1.083935
302.888309,31,3.424661
531.664892,59,3.953985
401.187949,44,4.165637
386.864046,43,4.393509
386.779567,40,4.551495
353.622785,38,4.699367
113.217153,11,4.830282
469.374091,52,4.885343
434.669273,47,5.081385
396.998693,45,5.258785
456.938816,54,5.429412
289.986722,28,5.616927
518.981407,54,5.728974
389.007373,38,5.921338
251.40832,25,6.059939
388.820322,40,6.15887
406.290333,45,6.311385
433.323333,44,6.528808
467.056437,49,6.690506
390.736412,41,6.866913
424.373954,44,7.023617
256.715652,26,7.178904
381.271317,39,7.280643
400.166029,41,7.426943
493.997298,51,7.583256
380.777271,39,7.764384
403.983416,42,7.907762
244.743215,24,8.057177
503.463316,52,8.157435
425.891426,46,8.344877
87.441674,9,8.557733
475.063602,49,8.60756
292.863575,29,8.779503
451.959558,50,8.897441
525.017762,55,9.082573
446.347589,46,9.279634
424.351173,45,9.44717
379.666839,40,9.611742
464.086978,48,9.760587
402.405124,44,9.937037
488.358973,51,10.101445
305.211168,30,10.282336
572.188888,61,10.408476
331.933344,34,10.676479
424.75607,45,10.809056
351.27119,35,10.969133
11.487767,1,11.085323
393.4348,41,11.104289
414.285114,43,11.256857
365.934988,38,11.413211
469.212183,55,11.561101
412.86469,42,11.758544
443.754525,49,11.914871
581.590537,61,12.111171
420.867849,44,12.328207
360.171952,37,12.486381
480.176822,50,12.648479
494.676976,53,12.859306
479.070393,50,13.055316
424.275826,43,13.234529
484.304568,50,13.397689
428.937392,44,13.581779
442.294076,46,13.743138
403.985923,43,13.906802
543.753029,57,14.068934
404.526823,42,14.264544
459.21474,48,14.417562
425.912223,45,14.589849
505.651935,52,14.812256
472.92238,50,15.000552
346.734635,36,15.176339
358.306293,38,15.308852
333.846776,33,15.447222
289.639279,29,15.565523
387.766771,39,15.675001
450.67677,49,15.819147
427.607434,50,16.004719
427.916811,46,16.1858
463.138263,49,16.36123
332.280858,34,16.535485
420.847346,43,16.662631
431.30068,45,16.872797
428.332605,47,17.037981
363.228941,38,17.207512
456.636698,48,17.350551
415.498154,43,17.521907
457.722648,47,17.682494
400.593611,42,17.856019
514.32188,58,18.019782
467.485986,50,18.265498
471.899976,50,18.459432
418.380431,43,18.651951
382.538556,38,18.820322
475.511939,50,19.017902
379.506099,39,19.201508
554.06417,59,19.355415
361.874088,39,19.641671
380.945016,39,19.79512
371.892686,38,19.936959
302.002632,30,20.085629
503.097773,53,20.204227
410.25843,45,20.403045
404.502217,41,20.566987
376.591902,38,20.716804
485.937283,53,20.86074
523.681433,59,21.101955
485.877908,51,21.313504
465.526713,50,21.493796
362.042178,37,21.669473
411.114874,43,21.806541
355.192338,36,21.957382
405.555309,43,22.091716
506.324573,52,22.252448
515.703772,55,22.440727
380.38259,39,22.630604
265.59596,26,22.767919
499.69468,53,22.873185
495.262084,58,23.116902
296.706785,31,23.314754
304.61838,30,23.427955
494.316575,54,23.54578
460.210099,52,23.741183
494.71099,53,23.930307
377.995063,40,24.117248
419.035954,45,24.265645
447.759139,46,24.437197
486.078425,51,24.607471
432.073526,48,24.793106
98.231423,10,24.952034
520.174221,55,25.007416
541.138502,57,25.263573
460.712294,50,25.476838
303.787132,29,25.651354
473.323959,49,25.767864
452.240128,49,25.944875
486.249951,52,26.134475
450.422543,48,26.328228
322.807338,32,26.502331
423.439982,44,26.627104
526.546534,56,26.793586
415.430576,42,26.995901
475.515541,51,27.161071
338.112273,34,27.381304
426.37507,44,27.512746
524.459211,56,27.6774
299.796313,31,27.871966
426.254776,45,27.993683
440.908842,46,28.157145
483.032975,52,28.328667
506.44724,53,28.518074
502.771346,53,28.713729
463.261296,48,28.900221
403.97341,42,29.072046
464.730919,48,29.233892
493.506477,52,29.448032
431.675338,48,29.636198
431.329403,44,29.806278
426.374087,44,29.963706
423.191471,46,30.122905
415.536406,49,30.303861
462.286923,51,30.486988
335.246002,34,30.663622
459.352207,47,30.793329
495.511983,53,30.968038
466.318467,50,31.160118
333.275485,33,31.39188
451.414931,46,31.525717
463.807141,51,31.692111
410.673311,45,31.877558
411.509003,43,32.04745
428.357763,45,32.202571
461.996055,55,32.373268
371.974141,38,32.567518
369.208171,36,32.708255
425.642954,47,32.84629
530.763825,56,33.024194
494.654182,54,33.231587
347.602359,34,33.465849
431.732405,47,33.599628
317.717835,32,33.762563
313.636134,33,33.879537
539.308752,56,34.013064
463.507141,51,34.213126
536.172681,59,34.399229
330.969546,33,34.604094
415.52466,43,34.728164
337.520467,33,34.884598
416.35494,44,35.008068
504.371858,53,35.172397
406.46217,42,35.362351
463.366383,48,35.570467
489.692782,54,35.75145
494.153102,55,35.948992
539.764052,57,36.147845
377.016631,37,36.350927
401.30535,40,36.492367
462.160661,48,36.645195
420.649291,46,36.819655
466.784947,49,36.992827
353.373975,37,37.16975
178.47821,18,37.301509
378.898159,41,37.378327
445.512351,47,37.538591
311.974502,32,37.75736
377.838052,40,37.880371
442.516885,47,38.035187
162.174358,16,38.201779
253.25095,25,38.266405
507.880684,56,38.370365
455.10502,47,38.570981
492.830568,56,38.745751
432.994289,45,38.9468
128.375727,12,39.100051
362.102888,37,39.155668
520.171073,54,39.305794
277.742145,27,39.493501
411.982408,43,39.597772
326.350391,33,39.80821
363.640991,36,39.930128
541.901361,56,40.068649
394.936074,43,40.265527
350.189556,37,40.422766
385.525819,38,40.558755
499.994863,52,40.704647
436.505058,45,40.892286
387.266984,39,41.057015
369.391361,36,41.195961
437.15547,45,41.33486
362.443306,36,41.499373
544.182456,57,41.64146
560.15679,58,41.908354
501.434917,54,42.135766
448.439428,46,42.338684
478.324879,56,42.514943
506.547538,55,42.723532
521.966571,54,42.927415
456.279526,47,43.123904
421.895217,44,43.296611
434.213165,45,43.469172
406.541226,41,43.641751
388.121462,44,43.843351
151.157423,15,43.995883
371.942915,38,44.062296
455.534098,47,44.209414
299.321568,28,44.376894
452.722271,47,44.490369
495.95561,51,44.668959
442.591106,46,44.859364
372.843903,38,45.036371
391.775513,40,45.186196
433.061947,45,45.342968
166.890269,16,45.50366
359.062091,36,45.573956
362.356266,36,45.711545
310.419222,31,45.848123
413.137867,44,46.010094
516.833955,54,46.177848
382.080371,38,46.375996
363.906638,37,46.518303
495.667183,57,46.663098
136.364922,13,46.849342
309.007051,31,46.9057
446.561488,45,47.023926
459.458458,47,47.189231
351.137973,36,47.354209
388.458327,38,47.489584
467.788495,49,47.632986
475.04778,49,47.813718
488.483268,51,48.053947
506.291735,54,48.244052
445.934138,45,48.43627
437.867912,47,48.598493
437.842546,45,48.771193
180.705593,17,48.92076
384.433258,39,48.994295
378.793478,38,49.135353
333.313691,33,49.273752
387.56617,39,49.398691
444.865061,46,49.548132
336.088212,34,49.710528
491.843512,55,49.842227
494.040003,52,50.061417
427.833449,44,50.27298
458.948728,52,50.439443
440.746962,46,50.632973
487.930169,51,50.804493
530.007163,55,50.99267
436.005888,50,51.19601
385.618988,38,51.374345
464.238207,47,51.519402
446.45044,46,51.690778
163.140386,16,51.847635
90.461206,9,51.905174
497.610062,52,51.95831
344.766726,34,52.165379
326.283215,33,52.418909
380.902025,38,52.541386
431.542163,44,52.682388
380.551101,41,52.841159
462.302987,50,52.997727
477.021246,49,53.183523
548.787432,56,53.365338
235.310089,24,53.565837
471.553712,53,53.667515
447.502991,46,53.862162
518.198729,53,54.034839
298.554475,29,54.218971
431.568209,45,54.351514
435.093338,44,54.546829
425.591571,42,54.708463
405.696303,43,54.86284
490.638962,53,55.025836
452.616428,48,55.217536
432.709643,46,55.393723
498.959621,56,55.567676
379.159137,38,55.765048
453.045011,47,55.906859
278.768713,27,56.079303
461.964025,52,56.189126
239.907095,23,56.368769
460.867214,49,56.521831
461.617006,48,56.69895
33.594894,3,56.855628
143.388831,14,56.87332
423.290766,48,56.93765
427.313736,45,57.113978
206.163946,20,57.272474
439.925085,45,57.362932
69.570443,7,57.514595
486.019362,50,57.556491
324.913349,32,57.731322
493.365441,55,57.858921
413.429596,42,58.057161
458.864003,48,58.21194
483.567247,50,58.388349
466.620795,49,58.628445
227.552581,22,58.798561
283.943513,28,58.883485
393.045417,40,58.993759
457.307185,51,59.146241
486.092612,50,59.337502
446.944739,46,59.519255
464.167977,48,59.69135
295.009512,30,59.864425
377.176572,38,59.981529
476.603859,51,60.130415
266.103924,26,60.319047
488.697168,51,60.440171
432.279826,44,60.658518
385.21393,39,60.864377
429.348485,44,61.025985
387.281026,39,61.208029
441.416768,45,61.36488
511.418111,53,61.545858
381.466116,41,61.739326
396.470691,41,61.886916
414.729862,42,62.037536
374.141603,39,62.192203
460.605735,49,62.339378
365.203029,39,62.520627
305.13303,30,62.662822
407.800731,41,62.838118
438.191185,45,62.994779
492.916502,52,63.162272
496.737902,52,63.355208
450.650357,47,63.545905
423.237499,43,63.723695
395.420436,40,63.879169
466.112513,49,64.030634
506.899178,52,64.211048
499.7706,52,64.399191
433.71086,45,64.587461
417.395881,43,64.756838
399.711206,41,64.972246
508.211488,52,65.125347
432.309657,44,65.313437
361.049102,35,65.470422
439.080813,46,65.604165
391.186685,38,65.769545
527.548829,56,65.916627
444.762197,50,66.134343
461.906105,48,66.323686
392.976456,40,66.504159
484.108948,56,66.666524
564.112379,59,66.920812
487.40547,56,67.14585
254.766663,24,67.349186
478.711652,49,67.460649
455.736367,47,67.661806
426.020632,46,67.839653
530.019504,56,68.016961
408.906837,44,68.224901
400.511824,41,68.389652
312.750906,30,68.541656
432.112673,45,68.662724
486.919832,50,68.828512
492.952011,58,69.07536
400.112885,42,69.290653
403.066471,41,69.44946
466.084167,49,69.61208
