#{"t_start": 1642979560.2445638, "env_id": "happinize-v1"}
r,l,t
418.157946,52,0.742389
357.875472,44,0.750157
168.267258,17,1.087808
246.798461,24,1.780457
468.356768,57,1.876463
446.836142,51,2.069721
337.036299,34,2.23994
400.53775,45,2.362549
467.309931,52,2.519942
503.139406,55,2.700058
478.444168,52,2.889009
442.26894,49,3.066301
446.636639,48,3.233179
542.087555,58,3.402243
433.898492,46,3.597382
306.300611,32,3.750811
455.247806,52,3.869047
463.841628,53,4.048065
398.748468,43,4.226876
497.257017,54,4.377842
439.026803,48,4.565113
402.235595,43,4.728225
365.543776,40,4.876174
287.817236,31,5.01142
273.667764,28,5.115458
371.952594,40,5.216763
446.619312,49,5.356848
434.753873,47,5.524569
495.558261,53,5.688517
374.496108,40,5.872245
373.851826,39,6.010056
395.516288,42,6.145209
362.678247,38,6.299232
415.808338,44,6.432468
495.321695,54,6.587108
456.427999,49,6.770345
164.482405,16,6.933324
499.666778,54,7.003078
427.194914,46,7.186083
302.919175,32,7.339049
403.75802,43,7.457446
507.324436,56,7.608878
242.800205,26,7.790988
490.225548,55,7.892607
296.320717,33,8.075033
285.349555,30,8.187028
390.514565,44,8.296475
375.023378,42,8.447891
227.062885,25,8.586645
453.597352,50,8.683371
424.804334,47,8.854521
504.007689,57,9.017558
282.67864,32,9.204879
293.69255,33,9.315592
472.481623,52,9.434711
411.68427,45,9.610375
454.803388,50,9.767611
432.565358,49,9.938146
240.818236,26,10.096956
411.091186,46,10.193887
468.71376,52,10.354548
329.15331,36,10.530554
300.212236,33,10.653669
336.515543,38,10.770723
295.262112,33,10.900889
418.843113,46,11.018051
392.488229,45,11.175617
428.981519,48,11.331911
363.564359,42,11.494459
518.157336,58,11.644502
410.507015,46,11.838708
227.755329,25,11.988265
388.55451,45,12.080504
435.006399,48,12.237119
378.990935,43,12.400719
117.691336,11,12.535627
418.403707,48,12.588767
435.538509,49,12.753953
502.701302,55,12.927582
504.779127,57,13.118077
347.602872,37,13.304492
469.009632,52,13.44172
469.793411,53,13.621769
446.914593,49,13.801996
384.459808,43,13.96935
464.65547,51,14.119286
454.658942,52,14.297693
443.394904,48,14.474283
449.796367,50,14.639006
330.244629,38,14.806802
346.581318,37,14.93734
380.946323,45,15.065515
358.967441,40,15.219214
431.672309,49,15.359247
410.43012,45,15.523977
444.369053,51,15.681886
343.465754,38,15.852129
333.917714,37,15.9828
478.539966,56,16.117912
278.000623,30,16.301012
438.97275,49,16.413038
391.773282,43,16.581817
384.329837,42,16.730916
406.028686,45,16.878044
379.360242,43,17.031505
552.339849,61,17.187814
353.998077,39,17.388608
419.199734,46,17.526757
466.856849,52,17.686663
328.686226,37,17.86046
451.458806,50,17.991792
274.256651,30,18.15648
157.028428,16,18.255007
390.451708,43,18.321164
457.226585,51,18.473256
206.600456,22,18.637125
431.273574,48,18.723665
427.772642,47,18.887904
434.716918,50,19.055213
323.121536,36,19.22211
450.749223,50,19.351133
419.388457,46,19.524729
412.543784,45,19.682604
398.983388,47,19.838429
464.378716,51,20.006168
485.449864,54,20.182448
346.525647,39,20.362341
280.786217,31,20.495078
389.299429,44,20.606014
435.307085,52,20.761465
269.932695,30,20.932869
215.177102,25,21.035001
290.120037,32,21.125373
404.767814,46,21.241958
405.713063,48,21.401078
472.054547,53,21.56873
