#{"t_start": 1642020312.970663, "env_id": "happinize-v1"}
r,l,t
395.293314,47,0.01693
217.902214,25,0.021665
332.846789,43,0.87213
367.684148,51,1.889601
447.747148,54,2.070176
315.018268,49,2.254035
187.701179,33,2.415072
331.745118,51,2.543896
425.29622,50,2.727009
207.415525,25,2.890249
236.508386,31,2.980482
338.178643,46,3.109946
377.975865,51,3.289531
352.661939,49,3.465365
309.468502,41,3.629079
347.908298,47,3.774806
376.267028,50,3.938727
341.839855,46,4.110837
264.082399,35,4.266952
369.524905,51,4.396807
244.234554,30,4.563338
358.897041,49,4.677311
326.580817,44,4.847329
399.675808,47,5.003626
370.813768,50,5.183005
336.791038,46,5.37708
331.542895,44,5.538534
243.552595,44,5.693109
228.49683,44,5.8462
299.788258,59,6.006242
237.052859,45,6.203087
249.794901,48,6.357101
216.033099,43,6.521673
242.856815,46,6.673611
231.602244,45,6.833332
295.876879,58,6.991569
94.66549,19,7.184407
277.595175,51,7.281362
279.759228,56,7.477093
302.624808,59,7.673775
292.651389,56,7.874519
257.815092,48,8.063761
177.314016,34,8.223852
234.313966,44,8.344623
220.097256,43,8.495454
245.49397,49,8.643797
242.800696,48,8.813734
216.783809,43,8.978094
213.298631,42,9.127149
258.214401,52,9.277479
246.335477,48,9.509615
124.815882,25,9.669571
100.957231,19,9.753888
258.540457,49,9.830122
154.21213,31,9.995978
240.886295,48,10.110607
256.389055,53,10.27639
261.457475,52,10.45734
210.367834,43,10.630603
247.495036,48,10.779868
221.716308,44,10.944325
263.393331,50,11.098515
158.83728,31,11.265987
227.341089,46,11.381678
71.299423,13,11.565437
275.506452,55,11.641075
91.56933,18,11.825538
246.046511,50,11.900997
252.340885,49,12.07614
218.873118,44,12.246536
94.386493,19,12.391919
257.686367,50,12.474482
110.589272,23,12.642282
192.338521,39,12.732522
163.89884,33,12.870784
214.982248,42,12.989309
204.730793,42,13.137564
246.583589,49,13.292514
167.62218,34,13.45703
213.239007,43,13.57924
199.24458,41,13.770981
123.265648,26,13.908891
129.55617,27,14.001659
217.822034,43,14.102176
113.711116,24,14.24635
251.537192,50,14.340127
267.746448,53,14.513941
266.955201,53,14.69732
150.417507,31,14.876645
270.865597,55,14.992125
141.033856,30,15.174702
239.82401,48,15.28592
216.431074,42,15.449932
262.245385,52,15.602521
210.879415,39,15.822659
346.188311,49,15.95996
255.122521,38,16.130476
262.128516,39,16.262887
284.544999,43,16.398498
317.704853,48,16.552083
360.310677,54,16.725622
