#{"t_start": 1642022518.5597165, "env_id": "happinize-v1"}
r,l,t
395.293314,47,0.022701
217.902214,25,0.027396
338.805657,43,0.038637
401.968853,51,0.28391
310.871866,54,0.463065
263.274286,49,0.649522
205.574209,33,0.812791
331.833364,51,0.935532
416.44539,50,1.112534
209.687076,25,1.279097
254.203243,31,1.371372
385.629437,45,1.48566
262.711223,32,1.642724
411.158267,50,1.763047
315.881187,38,1.933006
372.140723,47,2.069394
325.071952,40,2.274867
375.55568,48,2.418304
398.625112,48,2.586281
317.14828,39,2.748529
362.756037,44,2.892085
347.691736,45,3.045223
470.41746,58,3.207751
304.571095,41,3.403741
253.22107,34,3.549557
364.351013,49,3.674762
371.94417,52,3.846274
248.719375,34,4.020289
261.206177,39,4.142178
368.280785,52,4.338079
247.714608,32,4.511731
372.789498,47,4.633709
425.190453,52,4.799639
302.452043,37,4.986004
281.26598,36,5.120177
366.877481,50,5.253909
369.334188,50,5.432678
338.247721,44,5.60419
282.049521,34,5.753784
366.855069,48,5.880744
424.15359,56,6.051923
359.141045,45,6.24378
399.31419,53,6.449048
431.803035,59,6.638463
370.035968,48,6.839213
370.30982,47,7.105108
392.147278,49,7.272305
230.680159,28,7.434416
383.289737,48,7.541567
345.256636,43,7.711757
413.895258,53,7.867152
429.176936,58,8.053848
385.805688,50,8.255314
317.269083,43,8.465077
325.005706,45,8.62589
335.034056,44,8.78468
379.802247,50,8.942646
253.532782,31,9.112306
352.821501,46,9.227987
108.434782,13,9.377455
398.99947,55,9.438466
149.206265,18,9.618784
368.943314,50,9.694742
309.203981,41,9.866314
302.003323,38,10.008398
270.386135,33,10.141361
367.249485,50,10.266961
242.898147,32,10.436509
237.560918,30,10.599626
337.973114,45,10.711171
272.02134,36,10.863762
285.550712,37,10.994331
401.57032,52,11.131584
198.261074,25,11.303799
411.870768,55,11.402001
338.888717,46,11.595373
352.60253,47,11.756519
236.841162,30,11.915066
396.682194,55,12.030613
359.729635,49,12.224948
285.625883,37,12.394049
361.870608,48,12.531614
331.675569,44,12.742233
371.682846,49,12.897712
367.510715,49,13.067708
334.20227,43,13.24041
402.631361,53,13.394933
324.428625,41,13.578176
346.994452,44,13.724949
331.058204,42,13.877732
311.020119,38,14.022639
419.877642,55,14.164505
344.094414,43,14.421161
392.508209,48,14.571539
368.824667,44,14.780566
300.371506,37,14.93213
330.368246,41,15.066412
428.291248,51,15.213681
370.843449,44,15.392745
433.585127,51,15.547198
373.517782,45,15.72286
403.09433,48,15.884241
480.255661,56,16.05781
279.357386,34,16.248255
357.986668,43,16.371977
398.665448,47,16.522488
350.684015,41,16.689374
281.484916,34,16.875792
412.961718,55,17.005645
396.099507,46,17.194119
414.178254,53,17.356383
392.908826,52,17.538691
392.278286,46,17.718642
351.333158,47,17.877137
344.249309,41,18.038358
359.998179,43,18.181776
315.32492,41,18.332608
263.130167,33,18.472589
246.915982,30,18.590527
237.964871,29,18.694419
362.882956,44,18.800563
358.268333,44,19.009762
364.121583,47,19.164715
299.621653,36,19.326752
460.777064,54,19.460392
243.053982,29,19.643419
241.101665,29,19.743217
368.736837,46,19.853772
375.649109,45,20.014767
356.244738,47,20.172522
478.160752,56,20.343417
316.894427,38,20.532373
352.815515,45,20.669977
385.384462,46,20.826606
309.200888,37,21.03605
361.123444,43,21.173603
329.41804,40,21.322096
357.11363,42,21.464241
328.264928,42,21.691816
372.661776,45,21.841075
432.353458,55,22.00387
377.583282,50,22.194444
343.624526,41,22.371526
154.114225,19,22.513477
379.931667,49,22.59263
412.549546,51,22.775907
16.450784,2,22.941668
289.675306,35,22.961665
378.430896,45,23.139642
394.139011,47,23.300635
405.549246,48,23.467446
388.26196,47,23.635388
316.679741,38,23.795345
414.733947,56,23.934836
339.599914,41,24.125932
416.442897,52,24.275795
415.668722,48,24.460156
381.827898,45,24.630415
337.509167,41,24.787002
371.108728,46,24.936466
357.285156,49,25.116896
424.689116,50,25.308443
437.057568,53,25.484014
410.941595,55,25.67714
406.247781,55,25.873975
410.33302,48,26.067288
190.369943,23,26.228296
391.172051,54,26.321521
117.967511,14,26.498446
314.961873,42,26.559662
393.21283,47,26.709075
325.854744,42,26.870857
353.243653,47,27.023417
405.839606,56,27.214131
410.917777,57,27.424991
194.681876,24,27.612461
408.465223,56,27.709139
316.637245,40,27.896734
243.738983,30,28.034789
320.698528,39,28.145289
280.180734,37,28.280278
109.441051,13,28.404209
386.223965,52,28.463848
354.673497,47,28.648074
121.488999,15,28.8031
365.429201,44,28.936267
306.586991,37,29.092332
299.425327,38,29.226383
286.448927,37,29.408131
333.128163,40,29.539104
395.992269,54,29.683838
382.083414,45,29.867813
321.024849,43,30.026045
352.719818,42,30.176696
426.991456,50,30.32995
455.720668,58,30.511509
347.704092,47,30.716216
165.296966,20,30.874074
369.882933,44,30.953445
400.305757,48,31.111806
393.974237,47,31.280097
381.076483,44,31.494341
352.837955,42,31.655516
435.043464,52,31.811815
445.238606,52,31.995923
390.969723,52,32.179213
312.801589,39,32.358314
457.792117,54,32.505442
372.693197,45,32.693468
413.029886,49,32.853466
323.102825,44,33.026438
342.969161,41,33.182184
408.573974,56,33.333569
304.787521,37,33.570967
389.686941,48,33.707875
418.062895,49,33.879383
298.069478,36,34.046608
392.611538,46,34.181243
332.269814,39,34.340761
339.576439,41,34.483349
451.170384,53,34.633892
422.172873,51,34.825837
303.841686,39,35.010738
475.483807,57,35.160565
444.468372,53,35.363743
391.690232,47,35.601034
395.249258,48,35.765591
246.078174,30,35.930466
257.893428,31,36.038282
415.766061,56,36.236154
337.044187,40,36.431519
402.11821,53,36.579583
324.069963,43,36.764138
491.042039,57,36.925439
321.469751,40,37.120993
301.579041,40,37.263805
412.657269,52,37.410519
395.617424,47,37.639853
438.733317,52,37.814628
366.588393,47,37.997881
391.305526,49,38.165747
353.050461,42,38.341697
428.213247,51,38.496819
451.566099,54,38.681631
425.875016,55,38.877235
424.814601,52,39.073366
343.500733,41,39.254917
342.109648,41,39.398431
460.407305,55,39.555334
379.996809,45,39.782987
311.158065,41,39.942611
409.172306,49,40.091861
371.772908,49,40.270603
97.219918,12,40.430006
390.140953,52,40.488357
396.785097,56,40.67865
336.32563,44,40.87248
496.12561,59,41.037542
408.078108,50,41.244449
334.199284,44,41.419433
423.463763,51,41.582185
309.993506,41,41.804962
346.299048,48,41.955814
387.941222,47,42.127295
407.082447,49,42.293678
375.250398,52,42.471962
340.102169,46,42.655152
255.42331,34,42.816121
403.672245,52,42.943506
400.193354,47,43.126089
331.246639,45,43.289804
327.561621,44,43.453151
213.751596,26,43.601453
259.749384,31,43.838719
361.005312,43,43.951496
292.05304,39,44.107122
414.324478,58,44.251872
417.740528,56,44.457445
341.535738,47,44.654285
358.67495,50,44.823861
162.056914,20,44.992198
350.776908,41,45.072337
372.727779,52,45.22353
374.454675,44,45.404222
428.193043,51,45.564103
386.259279,46,45.760466
341.640169,43,45.94565
368.853074,50,46.099928
356.243499,43,46.274227
382.218692,53,46.432359
324.749484,39,46.614057
387.385708,46,46.763616
467.607183,56,46.930205
462.950513,55,47.133877
339.596982,44,47.324585
306.208627,37,47.550784
293.830711,38,47.687995
490.642997,58,47.877003
300.366326,37,48.077439
307.889413,40,48.211537
434.974549,52,48.360695
343.133756,46,48.550912
442.269298,54,48.716509
395.73818,50,48.91358
302.681276,36,49.085061
322.967013,42,49.216466
330.781253,40,49.363477
441.737233,52,49.510469
374.860636,44,49.693727
247.508439,30,49.843611
387.850206,46,50.002789
286.059698,35,50.165895
216.286917,26,50.287336
365.192538,47,50.387373
138.304487,17,50.539735
389.958953,53,50.615769
417.882646,57,50.801132
315.360799,41,51.001817
306.791674,41,51.22692
408.117402,48,51.376286
452.164265,53,51.547873
416.001704,51,51.736799
414.621496,57,51.926188
209.136625,25,52.149518
471.700418,56,52.250417
348.78838,41,52.444193
219.618929,27,52.585989
252.276745,33,52.691486
328.40331,42,52.814151
359.563032,44,52.966198
310.845366,37,53.131397
356.031563,42,53.27157
181.5408,22,53.417668
430.563579,51,53.509031
359.421547,48,53.691133
314.01808,41,53.858667
409.389509,48,54.031896
355.217187,47,54.220164
320.46872,39,54.384866
396.245739,54,54.531349
344.358224,45,54.722477
277.109772,33,54.878357
350.140696,44,55.003142
266.691081,32,55.157556
411.123021,53,55.28043
420.590374,50,55.466443
366.798894,43,55.641993
230.120409,28,55.791877
443.668978,52,55.901046
380.028877,46,56.08666
499.384358,60,56.284543
396.225209,47,56.489081
205.873753,25,56.647533
503.764914,59,56.748186
268.37027,32,56.942675
459.540063,54,57.062491
331.900383,45,57.2483
408.100221,51,57.408472
126.320416,15,57.5713
396.235743,47,57.636769
394.239624,46,57.79921
344.853246,43,57.958013
384.402685,49,58.112519
335.059464,43,58.333505
396.738631,47,58.55696
334.123984,44,58.724127
301.041798,37,58.875035
286.832722,34,59.005885
24.422006,3,59.115692
429.427176,55,59.145365
415.610508,50,59.337841
285.377716,35,59.509503
356.010261,47,59.636107
378.619269,48,59.807273
325.913837,42,59.976179
348.278123,46,60.128823
433.09093,52,60.317101
327.806119,39,60.509625
370.53577,45,60.647019
329.710065,39,60.803806
410.676895,53,60.943749
368.062335,50,61.131905
341.099754,45,61.303795
358.634274,44,61.460889
351.21402,44,61.617251
370.54872,46,61.779288
345.68756,41,61.938978
324.009043,39,62.084161
416.056081,50,62.224488
170.832643,21,62.435149
313.895362,37,62.519188
236.273287,28,62.645576
361.687657,43,62.749721
195.532233,24,62.895328
438.906923,52,62.990064
422.659987,51,63.176879
378.231439,55,63.357347
432.248674,51,63.55089
370.591442,45,63.727498
460.345996,61,63.892987
300.798734,36,64.097564
220.763767,27,64.225713
308.401516,38,64.32817
219.724345,26,64.506879
242.854559,29,64.602535
418.570286,56,64.719234
449.230394,57,64.924482
348.083284,43,65.134354
381.80902,47,65.290496
352.618224,41,65.459972
459.892663,54,65.609151
375.255415,46,65.861095
461.525366,54,66.033884
373.56891,46,66.225349
399.698662,48,66.389104
244.582313,29,66.597967
251.990061,31,66.704626
314.041666,38,66.815716
451.881857,53,66.957883
213.460389,26,67.136792
428.17432,52,67.238168
341.534027,40,67.418466
372.921457,45,67.561613
401.447838,49,67.731159
470.370158,55,67.908609
