#{"t_start": 1643878673.3319073, "env_id": "happinize-v1"}
r,l,t
330.329548,42,0.022773
381.296078,46,0.043326
413.230761,49,4.31813
313.288099,41,6.542034
370.344611,49,17.847327
417.042641,57,25.397641
327.942144,44,37.979688
360.607924,50,49.456636
122.273011,15,55.963507
296.692496,38,62.368604
277.680032,36,63.678044
239.972775,30,64.839957
285.199776,38,66.963452
372.563518,51,75.947172
376.432804,51,79.424874
295.798892,40,94.352151
247.664692,31,95.966787
343.701316,45,99.684101
319.516745,38,106.922286
386.266372,50,112.808968
338.269098,42,118.547494
341.160394,47,135.779201
213.208714,25,135.797507
391.929062,52,156.199989
385.555488,52,168.457827
402.004677,55,174.707929
362.254443,51,182.864476
353.784707,51,184.273786
339.570623,44,193.239075
179.596025,22,195.721615
225.667767,27,195.751066
141.668754,17,196.998121
319.524737,40,204.350655
312.333167,40,212.649804
398.171763,53,219.49014
261.533432,32,224.503276
363.098553,50,236.299843
262.283026,32,246.794599
359.997973,48,251.702125
355.754444,45,259.963953
282.448053,35,273.347648
326.442847,42,283.696714
408.470255,56,292.968865
406.581595,55,298.15946
318.664338,40,307.001619
208.581446,24,307.014153
372.183862,49,312.594229
382.350219,49,326.806234
279.940517,34,348.903569
109.371623,13,348.916772
221.626437,25,349.899816
320.022292,42,352.97939
263.007373,31,354.044981
337.960518,45,358.487714
187.172695,22,367.140086
355.701193,47,385.513685
352.370485,46,396.312132
280.786026,35,400.37008
295.029952,37,407.371963
371.467422,49,414.468926
314.243823,40,426.598959
302.421922,39,431.374315
392.643939,50,441.636517
354.677899,47,443.422719
345.645749,45,452.967131
436.037461,58,453.749838
387.386415,51,464.673348
267.80188,34,468.569093
418.852698,56,480.802768
311.64357,39,489.261423
385.939839,52,504.5688
353.180586,47,507.152228
257.663197,32,516.818148
304.888438,38,522.110933
396.306777,53,541.429926
347.235836,45,543.939906
257.505522,32,546.111392
252.430353,30,550.204221
393.659261,53,565.576044
360.055845,48,580.051036
381.112468,51,585.079841
343.279374,45,592.611016
366.756656,49,599.104188
331.853125,42,608.621858
338.642451,43,615.004309
328.186786,42,616.314324
363.323581,49,618.402355
267.229338,33,619.716726
357.832041,46,625.139984
332.224162,42,628.022933
402.621235,55,645.189377
354.92556,44,656.714857
334.063209,44,663.952177
114.395183,13,663.968795
209.089855,24,666.452051
304.284341,38,675.66843
409.481703,56,682.155776
411.03144,53,692.554194
385.007922,51,696.503494
399.24484,54,702.059477
312.3328,40,702.499747
377.193225,49,719.988375
238.651949,29,732.891891
390.359249,51,743.300016
429.333431,58,757.517209
415.636741,56,774.967262
414.925387,54,780.616306
378.348659,50,788.797573
272.218962,34,791.360938
308.042461,41,791.925271
9.457251,1,791.926071
355.613066,46,797.468683
293.573398,35,800.31813
367.677169,50,804.333235
354.819948,46,808.615268
361.591637,50,812.183423
377.014675,50,818.241846
297.839872,38,819.820312
370.448918,50,826.883973
378.489077,49,832.51767
367.442781,50,847.590972
300.865438,39,849.956569
410.098239,55,864.245529
397.281355,52,874.159542
385.217643,50,888.774354
282.087071,36,890.486484
414.380315,57,896.93861
