#{"t_start": 1643669274.2587187, "env_id": "happinize-v1"}
r,l,t
292.262603,35,0.063826
386.567332,52,0.086084
345.252888,39,0.110524
241.445614,27,1.595021
384.96593,43,3.44802
429.401613,48,5.674117
387.030195,44,9.004715
338.621513,37,12.459465
368.118791,41,15.308436
289.73503,29,16.405548
470.978476,51,17.323048
359.423315,40,18.952696
414.528074,45,20.138753
387.972672,44,22.416317
437.522847,51,24.723424
469.707489,52,26.63039
315.698616,34,29.973969
376.324618,42,30.810062
418.06281,47,33.416848
352.001476,41,35.676166
463.905825,52,36.522166
411.511193,49,37.993494
359.945803,46,41.73225
392.260071,51,45.248431
365.182456,44,49.15057
362.022626,47,52.461151
464.755447,60,56.011398
353.981861,44,60.635696
344.390265,42,63.341477
318.589743,40,64.6013
413.870342,54,65.690184
305.916542,36,66.760459
359.037838,46,67.908327
434.493075,57,71.406805
217.916874,28,73.428522
355.137135,41,73.917876
349.946481,45,76.883916
381.455813,50,78.815713
296.257436,37,80.978967
404.135776,55,83.368206
397.284465,51,86.579471
311.488471,38,88.929819
419.147359,53,91.224433
341.233833,43,94.982257
351.045179,44,97.251233
323.692164,42,98.564182
160.883781,18,99.720461
429.066848,56,100.144169
238.506966,30,103.231481
321.179104,41,105.561005
404.787147,52,108.726554
402.281378,55,112.786066
211.508815,24,114.71245
312.185202,41,116.567594
405.11758,52,117.770391
397.674835,52,119.180313
377.123525,49,120.253672
331.757562,42,123.585529
329.0718,40,124.870014
400.372372,49,127.3899
319.95121,38,131.232466
445.274985,58,132.282883
447.647957,58,133.753747
360.114013,48,137.734067
401.995241,52,139.067277
411.279298,53,141.035324
401.76204,52,145.105869
286.693607,36,148.918351
253.691291,29,151.006034
421.953883,53,152.992085
338.246741,41,155.672699
249.069984,28,157.289273
309.404406,35,158.92854
338.655528,42,159.589994
438.428058,57,160.735461
405.46209,53,162.380974
309.34615,38,165.250883
392.348823,46,168.14239
390.021944,49,171.464503
364.839766,45,174.808753
400.280266,52,178.25195
361.748167,43,182.276049
343.011376,42,184.965327
372.775173,46,186.768473
327.523722,39,188.718066
410.022529,53,189.639367
282.517752,34,193.292542
289.158589,35,195.950281
389.911074,49,197.855831
358.97169,46,201.606516
374.084343,45,203.177119
318.616025,38,206.057778
414.46465,52,208.963483
396.353865,48,211.543937
358.068997,43,213.95261
354.806997,42,215.17292
431.665773,52,217.978927
316.800953,36,221.687399
384.730843,45,222.631408
391.345853,48,224.939238
389.889642,48,227.832931
390.748026,45,229.971741
300.39868,33,233.009897
371.71317,43,235.599707
427.509601,53,236.47344
459.334626,58,240.396282
365.173458,45,244.537438
333.381738,41,245.703008
412.875195,51,247.636859
259.956948,30,249.701347
351.751083,42,251.009061
426.244044,49,252.892591
425.255907,53,255.387573
401.274357,50,256.645018
307.643099,38,259.424335
298.733013,35,260.322588
361.137137,42,261.117473
366.852081,46,261.791829
370.302776,44,262.754879
350.028141,43,264.977176
356.397624,43,266.660033
439.238068,54,268.815392
384.150388,46,270.651271
331.391371,40,271.329525
324.30807,41,271.991806
387.190162,48,273.574325
409.128952,49,275.787772
371.966902,44,278.087808
316.43527,37,280.093882
346.754131,41,281.936112
356.716965,41,284.060304
333.28108,40,285.272151
354.013759,39,285.970809
339.536487,40,288.163606
421.583842,53,289.791988
303.419566,36,290.998844
310.55553,34,292.299634
414.751426,47,293.948895
343.067744,42,296.27844
296.122722,35,298.395319
400.042277,48,300.168426
348.79488,41,302.890517
372.313536,45,303.631005
292.422881,32,305.332724
309.283206,36,306.947851
456.393596,58,307.693769
373.400192,45,308.855533
391.473804,50,310.078619
420.745519,54,310.9673
322.652653,38,312.742527
374.270853,43,313.912585
410.513093,54,315.993958
336.415161,40,317.742218
331.752121,38,319.679594
249.820445,30,321.732377
419.184134,51,323.297128
302.509108,35,325.131072
340.850138,45,326.876024
414.949439,54,328.099784
232.183493,28,329.954639
406.113244,50,331.130252
309.774169,35,332.023836
410.876799,49,332.710183
368.211835,47,334.664518
240.934543,28,337.181073
361.879101,45,338.71858
174.62608,22,340.529374
379.987915,50,341.120697
275.990418,32,342.085611
339.161826,42,342.839135
308.090433,38,343.747017
188.203763,23,344.462175
331.446324,40,345.486348
355.266068,43,347.543769
449.960222,56,349.830793
334.448047,41,352.350373
407.783924,50,354.284776
406.230526,53,356.368679
374.476493,49,357.297341
339.284924,43,358.149069
139.389397,17,359.679618
307.938659,36,360.120568
317.694434,37,361.460644
342.342507,42,363.234029
395.139675,47,365.323869
376.167359,48,366.424592
339.190768,40,367.382432
369.435408,44,368.647389
151.698723,17,370.093141
321.554849,39,371.040559
368.843164,43,372.296702
348.171653,43,373.837484
393.774476,48,375.923314
374.756486,46,377.686829
325.272133,42,379.1197
328.4273,39,380.931044
323.478258,40,383.024134
353.765834,44,384.766317
450.438622,58,386.593992
337.33544,39,388.415179
370.644331,44,390.066298
329.42972,43,391.528317
390.102218,47,392.241754
355.438125,43,393.519785
334.563619,38,393.98553
325.011036,39,394.786017
342.416483,39,395.899481
379.464024,47,396.896156
400.18208,49,397.406908
437.577974,53,397.97494
351.376225,43,399.362125
412.171522,52,400.403928
412.429891,52,402.385976
353.159469,45,403.893516
409.961426,49,405.046554
386.717789,45,406.076169
433.718077,56,407.266883
415.965317,55,408.464685
297.241265,34,408.949159
321.390986,39,409.310777
314.983526,38,410.142471
239.413433,27,411.123431
392.018608,49,412.02883
438.932709,56,414.353611
405.053898,48,416.596758
352.443944,46,417.026964
235.210692,26,417.419764
342.479932,40,417.678329
427.40353,55,418.105541
340.72267,39,419.759995
382.310121,48,420.672387
361.864079,44,421.941395
344.862457,39,423.068813
419.207834,50,424.656833
377.259079,44,426.236619
311.249594,35,427.42639
412.834925,52,428.45713
387.644475,48,429.837069
435.402021,53,431.334545
403.683308,52,432.717952
359.741311,44,434.104571
381.730321,48,435.253643
369.499371,47,436.799021
240.053816,27,437.997684
374.670327,49,438.760035
349.855397,42,440.013771
364.384471,45,441.304836
231.258021,25,442.516369
420.272104,56,443.199704
329.972502,37,444.69345
362.676777,44,445.520259
375.774359,48,446.619662
362.140413,44,447.689667
434.461965,55,448.829777
356.416123,42,450.25892
329.587883,39,450.651076
329.825255,40,451.042899
407.191793,51,451.450586
411.528821,53,451.932028
422.139703,55,453.22513
